method,sample_id,n_reference_positive_shallow_zeros,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate,n_shallow_repeats
Random Forest,SRS2822125,97.0,0.00011226132045023804,0.00020292803612876681,1.6068152237699267,1.8818106380294402,1.0,5
Random Forest,SRS2822129,89.2,0.0001537619984523294,0.0002653804787471286,1.1517776064018743,1.4580121030071223,1.0,5
Random Forest,SRS2822133,85.8,0.00016196587931703823,0.00027589700470090367,1.1125347569304844,1.4659542329768445,1.0,5
Random Forest,SRS2822136,98.8,6.135362342635613e-05,0.0001065691121313282,1.6699633354360834,1.929803232565538,1.0,5
Random Forest,SRS2822149,105.0,0.00012469874947166698,0.00019734302403068103,1.3802119152004242,1.6190149748160274,1.0,5
Random Forest,SRS2822153,104.8,0.00011887511397226209,0.00019649910342578567,1.0545607701674922,1.3104583538328751,1.0,5
Random Forest,SRS2822168,107.2,9.551789521747513e-05,0.00016387707496498132,1.6155799093644834,1.830289990515879,1.0,5
Random Forest,SRS2822180,111.0,9.579431647759336e-05,0.00019378317440091867,1.7390279634009933,1.9432512930698471,1.0,5
Random Forest,SRS2822183,105.0,0.00014510202579640403,0.00024336059066029804,1.2100476893784602,1.4897805328981455,0.996075036075036,5
Random Forest,SRS2822185,100.2,0.00011962598915569505,0.00022570924393637313,1.0955511869382848,1.3850111327245334,1.0,5
Random Forest,SRS2822218,91.4,8.736569001051335e-05,0.00015935257050973491,1.5469773602762187,1.7851857804509486,1.0,5
Random Forest,SRS2822220,31.6,0.00022415315729653042,0.00034752453097809086,1.8042509289810673,2.243979045851793,1.0,5
Random Forest,SRS2822230,81.0,0.00016671505857979545,0.00027082098234881185,1.5093829126444145,1.8550690765754354,1.0,5
Random Forest,SRS2822236,94.0,9.286190651827976e-05,0.00017516456247582262,1.5300453757322185,1.8340797990867437,1.0,5
Random Forest,SRS2822240,78.4,6.173459578703501e-05,9.596222188705936e-05,1.4761654499707615,1.7453870879743598,0.9952380952380953,5
Random Forest,SRS2822243,37.2,0.0001717291321230242,0.0002616341204443911,1.7018395193533729,2.0056646937473985,1.0,5
Random Forest,SRS2822253,101.2,0.0001435444696400469,0.00027383968311800726,1.296443288286857,1.5052970171749778,1.0,5
Random Forest,SRS2822256,89.4,0.00012540284824387704,0.0002221860123365533,1.6784147473734823,1.866279146853051,1.0,5
Random Forest,SRS2822262,93.2,0.00010027989948648651,0.00018979333142761756,1.470904213511395,1.732598066097723,1.0,5
Random Forest,SRS2822268,89.8,0.00011059830043722225,0.00020611699533335534,1.383540314480264,1.666886545374738,1.0,5
Random Forest,SRS2822269,94.6,0.00011333505821143487,0.0002085835637400812,1.3999211573667683,1.665400703951213,1.0,5
Random Forest,SRS2822275,51.6,0.00018938553988614876,0.0003366695001207324,1.5616511678153797,1.863211779602978,1.0,5
Random Forest,SRS2822279,108.0,0.00012923752193966337,0.00019432384907549098,1.2124208127366454,1.485133492197269,1.0,5
Random Forest,SRS2822280,79.4,0.00016973253257515343,0.00025923284952687807,1.2091047723983919,1.4679439971541883,1.0,5
Random Forest,SRS2822298,64.8,0.0001469726655391691,0.00027451330558925024,1.4810586324846804,1.739970513451875,1.0,5
Raw shallow RA,SRS2821816,104.6,0.0001237578342257396,0.00022682281390973765,3.7086866556110225,3.755615061264553,0.0,5
Raw shallow RA,SRS2821824,115.4,0.0001827652173867382,0.0002828449358547964,3.9927831562481644,4.025858513963556,0.0,5
Raw shallow RA,SRS2821835,69.8,9.615803414010347e-05,0.00014649671516176732,3.7740400375475267,3.7970127353819634,0.0,5
Raw shallow RA,SRS2821843,105.2,0.00016979176268902893,0.000284560257664089,3.9343781598184377,3.969387646195959,0.0,5
Raw shallow RA,SRS2821844,44.6,0.0002410781128824189,0.00039466132017375105,4.061342681407101,4.097140111943534,0.0,5
Raw shallow RA,SRS2821854,27.0,0.0003777512108966579,0.00045839412168710065,4.460699441386436,4.473252583097418,0.0,5
Raw shallow RA,SRS2821860,96.4,0.00015259954786227067,0.0002462169229152314,3.8889825055899534,3.924646578680508,0.0,5
Raw shallow RA,SRS2821870,111.4,0.0001314424971843879,0.0002262107400989799,3.8613866680481337,3.889124020352407,0.0,5
Raw shallow RA,SRS2821871,106.2,0.000152573860835316,0.00026517658868170115,3.9009964095885623,3.932689865963968,0.0,5
Raw shallow RA,SRS2821875,81.6,0.00017983182290524,0.000279193774912516,3.9987210755605718,4.029949154779727,0.0,5
Raw shallow RA,SRS2821881,58.2,0.0001020095181913018,0.0001760023891545543,3.749394188661742,3.7764382525674045,0.0,5
Raw shallow RA,SRS2821890,79.6,0.0002007042741686176,0.0003001011611017028,4.020855482973042,4.056014519627307,0.0,5
Raw shallow RA,SRS2821892,84.0,0.00020857962665811765,0.0003326891533888329,4.026769567062347,4.061493182950892,0.0,5
Raw shallow RA,SRS2821893,35.6,0.00020130656736710675,0.0003539809474123531,3.8740402247461345,3.9221483245330426,0.0,5
Raw shallow RA,SRS2821894,76.6,9.196419036695523e-05,0.00016508524863715382,3.6718877740732445,3.702590093331137,0.0,5
Raw shallow RA,SRS2821901,108.4,0.0001254767256281669,0.0002155180437827431,3.791660240498756,3.8274621972743845,0.0,5
Raw shallow RA,SRS2821905,104.2,0.00012264997926218969,0.0002227857258482028,3.7488252886935376,3.7884724835896373,0.0,5
