sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2821881,3,250171,2000,0,0.0,1.0,8.474289007152299e-05,-4.071845483440935,0.0,3.244377813643272e-05,1.8059232267371692e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,50.0,0.0027770875,0.92749244,0.008362512,0.09246352,-0.23500441617844448,-0.23893016012472149,-0.20871642421573386,-0.17978318474891872,-0.26671534550205794,0.0948365848404528,1.3570250239718726,0.03391139796891752,0.12492494280417789,-2.6953876383716998e-05,-4.97216971272116,0.4815214649391606,-4.490648247782,Random Forest
SRS2821919,4,187492,2000,0,0.0,1.0,1.7313019390581722e-05,-4.7613764084859955,0.0,1.3425082999947007e-07,4.162829518882483e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,85.0,0.00012210515,0.60120845,0.00041626513,0.0043488,-0.30214748973532823,-0.3049813984223733,-0.29656151573457695,-0.2542802278861781,-0.37123366336786684,-0.12259671693540442,-0.12481270826408267,-0.04044855993786522,-0.06641732082627526,-9.552471549455746e-06,-4.97216971272116,-1.8834891535815006,-6.855658866302661,Random Forest
SRS2822111,4,121481,2000,0,0.0,1.0,6.677707142475561e-05,-4.175307599684739,0.0,1.9922514767670652e-07,6.720019215389341e-08,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,62.0,0.0008315501,0.3323263,0.0020638965,0.011999596,-0.3285561546086377,-0.3330279172032351,-0.3248932408386818,-0.2854511515011837,0.10643155102092448,0.12245160379784745,-0.7055389278610917,0.0006172433854449452,0.03277460812974944,-1.676461300185666e-05,-4.97216971272116,-1.7152091502918654,-6.687378863013025,Random Forest
SRS2822025,2,242803,2000,0,0.0,1.0,3.634337218036004e-05,-4.43945529728376,0.0,2.727328239973514e-07,2.8619100464395366e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,70.0,0.00056018727,0.673716,0.0013985957,0.011823229,-0.30349738764756773,-0.3053143738482589,-0.2986460911226205,-0.2595132591110237,-0.4081453427630317,0.03751073830079593,0.01915453924830055,-0.00853742480861463,-0.06109686263773126,-1.895386972137379e-05,-4.97216971272116,-1.5881044182594732,-6.560274130980634,Random Forest
SRS2822279,2,88503,2000,0,0.0,1.0,4.661743865145073e-05,-4.331358440648732,0.0,4.981795732771714e-06,4.179834124316946e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,100.0,0.00044400847,0.776435,0.0010493724,0.009021864,-0.2469117276999699,-0.254500844753537,-0.2321079100990225,-0.19647676237880546,0.2442107767592569,0.035560936361849475,0.6112629222509696,-0.16989544109626958,-0.13097681020383514,-1.381861213000054e-05,-4.97216971272116,-0.33984867947149366,-5.312018392192654,Random Forest
SRS2821824,1,242803,2000,0,0.0,1.0,0.0005829504149235306,-3.2343609343729716,0.0,7.845417248499003e-05,4.582027355428759e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,125.0,0.00056018727,0.673716,0.0013985957,0.011823229,-0.22785088810267864,-0.22967262299092597,-0.20291909644769374,-0.1761014743718763,1.1911139734199874,0.10489584418786735,0.49211846277518156,-0.07072508781516713,-0.02556072304108566,-1.4029516160196203e-05,-4.97216971272116,0.8552843580974487,-4.116885354623712,Random Forest
SRS2822180,4,258891,2000,0,0.0,1.0,0.00038085565570648725,-3.419228187773909,0.0,9.150836316048487e-08,3.183849660264164e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,67.0,0.00010790843,0.38670695,0.0002697227,0.0033856751,-0.3233889518829613,-0.33012593231284,-0.3309384456018535,-0.28459404991453263,-0.278941156452314,-0.027648139901579678,-0.5183761658103132,0.03001931141174861,0.046914130498388246,-8.612152125311588e-06,-4.97216971272116,-2.0170880121183825,-6.989257724839543,Random Forest
SRS2821890,2,164928,2000,0,0.0,1.0,9.651444959188175e-05,-4.015362666159651,0.0,3.311828015232628e-05,3.4580731032107235e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,108.0,0.00087888475,0.8791541,0.0013569267,0.01291505,-0.22293953604595348,-0.226785170886657,-0.20230359563636682,-0.17187675853803502,0.4283135860876929,-0.007882472270492626,0.9425451866649043,-0.030772100856459764,-0.022615577812357658,-1.3187592277487293e-05,-4.97216971272116,0.48567037311399736,-4.486499339607163,Random Forest
SRS2821816,5,57440,2000,0,0.0,1.0,0.00014863955689765776,-3.827836381024728,0.0,8.048038501247892e-05,7.950783647693696e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,83.0,0.0019832102,0.9848943,0.010929906,0.19425108,-0.22228645476438016,-0.2262316642398675,-0.20398791476841127,-0.1698661906737711,-0.25743410046419957,0.1331098030713372,1.739878250312819,0.03309872485036342,0.03108193697671709,-0.00019407760822683366,-4.97216971272116,0.8571683126923801,-4.11500140002878,Random Forest
SRS2822268,3,117212,2000,0,0.0,1.0,9.236083531139459e-05,-4.034465129025304,0.0,1.2342952639143126e-05,1.8449543330225015e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,65.0,0.00020029076,0.9305136,0.0001987851,0.0013378164,-0.23510567037602012,-0.2399261530126368,-0.21112405250079808,-0.18536023829357307,-0.3893489500499187,-0.021377513553165094,1.3720205190269512,0.018755030360993658,-0.05139527594737451,-8.489683742187139e-06,-4.97216971272116,0.05712920597071614,-4.915040506750445,Random Forest
SRS2821824,5,189417,2000,0,0.0,1.0,0.0002314656059255195,-3.635494770391835,0.0,6.773130288724457e-05,3.234065819844859e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,116.0,0.0001201573,0.4954683,0.00021578823,0.0018350831,-0.24111390247679176,-0.24626619122353366,-0.223077303289046,-0.19740629793884196,1.0155174274958572,0.22636485375630672,0.11694998643613765,0.2657636771366959,0.07436919240080692,-9.282550186267678e-06,-4.97216971272116,0.7910921597474048,-4.181077552973756,Random Forest
SRS2821824,3,192431,2000,0,0.0,1.0,8.572800219463686e-06,-5.066370996364076,0.0,9.77033259171405e-05,4.071472520534979e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,121.0,0.00016615065,0.6978852,0.00025861867,0.0016578492,-0.22555961298957156,-0.23082705600624942,-0.2106685816649479,-0.17889209828328725,0.7398836666771003,0.15625364224878271,0.7031520167952517,0.10788109060193446,0.08561390923604882,-9.426240560965226e-06,-4.97216971272116,0.9468275503745007,-4.02534216234666,Random Forest
