sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2821970,2,11043,2000,0,0.0,1.0,0.0003563277059237073,-3.448138220286694,0.0,4.454173140105902e-05,2.6018415129710698e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,109.0,0.00011438911,0.72507554,0.00027012246,0.003013561,-0.7258158326148987,-0.13703396916389465,-0.0005299416952766478,0.01916361413896084,0.6612526774406433,-0.04282054677605629,0.4117724895477295,0.20595747232437134,-0.011475950479507446,-1.070918733603321e-05,-4.97199010848999,0.3804593035347352,-4.591530804955255,XGBoost
SRS2822111,3,9456,2000,0,0.0,1.0,1.335541428495112e-05,-4.874017574963585,0.0,3.2601501089632604e-07,4.0688952364917905e-07,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,66.0,0.00011792643,0.6918429,0.0002351788,0.0014995105,-0.9311488270759583,-0.1789432018995285,-0.002953111659735441,0.013567970134317875,-0.4895964562892914,0.04927385598421097,0.206506609916687,-0.06598063558340073,-0.015297641046345234,-1.0636495062499307e-05,-4.97199010848999,-1.4145820740141062,-6.386572182504096,XGBoost
SRS2822253,2,145222,2000,0,0.0,1.0,0.0,-8.0,0.0,8.717493752709657e-06,1.480710599791264e-05,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,108.0,0.0007604187,0.6918429,0.0026780718,0.031470962,-0.7907285690307617,-0.15338265895843506,-0.0027412085328251123,0.03043930046260357,0.6554346084594727,0.09092230349779129,0.4078733026981354,-0.11933251470327377,0.017165103927254677,-1.6982765373541042e-05,-4.97199010848999,0.13563268505458836,-4.836357423435402,XGBoost
SRS2822025,5,182860,2000,0,0.0,1.0,0.00016960240350834686,-3.770542391594264,0.0,3.3939570225263975e-05,3.256851331448384e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,68.0,0.0008390357,0.9667674,0.0023867982,0.034942154,-0.7311791777610779,-0.1454092562198639,-0.002734679263085127,0.020399169996380806,-0.26915550231933594,0.14134234189987183,1.4581844806671143,0.0014743802603334188,-0.011025454849004745,-3.251795715186745e-05,-4.97199010848999,0.46186378445418086,-4.510126324035809,XGBoost
SRS2822275,4,232457,2000,0,0.0,1.0,0.0,-8.0,0.0,0.0,1.5502749114197637e-09,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,65.0,8.3914376e-05,0.43806645,0.00015031584,0.0009858626,-1.0587633848190308,-0.20782159268856049,-0.0028133210726082325,0.013912733644247055,-0.7012527585029602,-0.042007431387901306,-0.5974462628364563,-0.21061435341835022,-0.16033154726028442,-9.76437240751693e-06,-4.97199010848999,-2.9671476827143124,-7.939137791204303,XGBoost
SRS2822183,5,7129,2000,0,0.0,1.0,6.893778365025564e-05,-4.161479689806253,0.0,7.743277785134425e-07,1.8094862765053619e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,105.0,0.00014564939,0.47734138,0.0005902907,0.006327274,-0.8956055045127869,-0.16304829716682434,-0.0022872923873364925,0.017945026978850365,0.4896405041217804,-0.019328191876411438,-0.2160802185535431,0.01886225864291191,-0.014968862757086754,-1.0475040653545875e-05,-4.97199010848999,-0.7848810525510999,-5.75687116104109,XGBoost
SRS2821972,2,232457,2000,0,0.0,1.0,0.00022407499043013065,-3.649587232227444,0.0,5.381681841833908e-06,3.443809164848631e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,94.0,8.3914376e-05,0.43806645,0.00015031584,0.0009858626,-0.8756150603294373,-0.1609324812889099,-0.0016066305106505752,0.015729587525129318,0.45703330636024475,-0.0885746106505394,-0.1851438581943512,0.2833351194858551,0.051210056990385056,-1.1186594747414347e-05,-4.97199010848999,-0.5045757572070215,-5.476565865697012,XGBoost
SRS2821843,5,118090,2000,135,0.0675,0.0,0.0665257550581566,-1.1770101222838985,0.0675,0.07102171884446708,0.07020881906806216,0.0,Dominant (>=1e-2),Detected in shallow,4.912655,-1.1706961,0.047169812,105.0,0.050860923,0.95770395,0.060766596,0.24860331,2.680262565612793,0.5135647654533386,0.0034571432042866945,-0.009398069232702255,0.15191355347633362,0.03152383491396904,0.47468331456184387,-0.038944143801927567,-0.0032195565290749073,-1.3645145372720435e-05,-4.97199010848999,3.8038297625134874,-1.1681603459765029,XGBoost
SRS2822220,5,83909,2000,0,0.0,1.0,0.0,-8.0,0.0,1.659483125528882e-08,4.006826394181934e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,56.0,0.0002642183,0.62537766,0.000567219,0.0059502665,-1.0017181634902954,-0.19660067558288574,-0.0026407986879348755,0.018487807363271713,-0.8447245359420776,-0.018864428624510765,-0.07456611096858978,-0.13102176785469055,-0.10205867141485214,-9.259416401619092e-06,-4.97199010848999,-2.353716604618967,-7.325706713108957,XGBoost
SRS2822218,4,168997,2000,0,0.0,1.0,0.0,-8.0,0.0,5.713791158028165e-07,5.239286566514464e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,60.0,0.000349423,0.51963747,0.0011893368,0.011677807,-0.9953173995018005,-0.19511747360229492,-0.0032439613714814186,0.0247015580534935,-0.16706539690494537,0.05461057275533676,-0.21740636229515076,0.10821671783924103,0.04294809326529503,-1.5955734852468595e-05,-4.97199010848999,-1.3476896074971592,-6.319679715987149,XGBoost
SRS2822269,4,99344,2000,0,0.0,1.0,0.0,-8.0,0.0,8.396804723878445e-08,1.674336797806632e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,75.0,9.211406e-05,0.6283988,0.000105408566,0.0006966057,-0.9190101623535156,-0.18001443147659302,-0.0023400704376399517,0.01327234786003828,-0.5014197826385498,-0.04197024181485176,-0.045919548720121384,-0.13858821988105774,-0.0010302249575033784,-1.2628070180653594e-05,-4.97199010848999,-1.817032962489975,-6.789023070979965,XGBoost
SRS2822125,3,28602,2000,2,0.001,0.0,0.001142426284943964,-2.942168011712258,0.001,0.001302435399882913,0.0011965859720478365,0.0,Common (1e-3 to 1e-2),Detected in shallow,1.0986123,-2.9999957,0.53246754,76.0,0.014775581,1.0,0.0135069,0.05472452,0.87313312292099,0.16219358146190643,0.003275497118011117,-0.014219040051102638,-0.04597482085227966,0.17035233974456787,0.8789697885513306,0.00574914738535881,-0.009081201627850533,-0.0009551297989673913,-4.97199010848999,2.0234432848519646,-2.9485468236380257,XGBoost
SRS2822149,5,222950,2000,1,0.0005,0.0,0.00015243404505514848,-3.816889535878469,0.0005,0.0003181516536322034,0.0003276955400242362,0.0,Rare (1e-4 to 1e-3),Detected in shallow,0.6931472,-3.3010213,0.9052632,94.0,0.00013022231,0.40785497,0.00025886897,0.001530232,1.1416869163513184,0.20823456346988678,0.003982197027653456,-0.00404265895485878,0.19187122583389282,-0.05949727073311806,-0.11063545197248459,0.13051912188529968,0.00881181750446558,-3.5098608350381255e-05,-4.97199010848999,1.5108953618037049,-3.4610947466862854,XGBoost
SRS2822077,3,192431,2000,0,0.0,1.0,0.0005346564297782245,-3.2719170831892845,0.0,2.6962238656400107e-05,1.2562897600409946e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,61.0,0.00016615065,0.6978852,0.00025861867,0.0016578492,-0.834540069103241,-0.15928113460540771,0.003260235767811537,0.015990467742085457,0.031189030036330223,0.22402547299861908,0.7131491899490356,-0.021653305739164352,0.08038656413555145,-9.86903796729166e-06,-4.97199010848999,0.05251658214365307,-4.919473526346337,XGBoost
SRS2821816,1,78621,2000,0,0.0,1.0,4.6938807441365604e-05,-4.328375434882687,0.0,1.3557158610074812e-06,1.256493423878734e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,89.0,0.00013518828,0.5679758,0.00035417997,0.0035969252,-0.9024975299835205,-0.17096173763275146,-0.0020137240644544363,0.018256312236189842,0.1172592043876648,-0.02953232079744339,-0.011286198161542416,0.05692581087350845,8.401483501074836e-05,-1.1610644833126571e-05,-4.97199010848999,-0.9237777789521715,-5.895767887442162,XGBoost
SRS2821894,4,117212,2000,0,0.0,1.0,9.460936842990497e-05,-4.024019955128319,0.0,3.977455575187736e-05,4.346680574036315e-05,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,63.0,0.00020029076,0.9305136,0.0001987851,0.0013378164,-0.6870094537734985,-0.1345067173242569,-0.0013474070001393557,0.019562436267733574,-0.0997975543141365,0.1214539185166359,1.3119075298309326,0.09177547693252563,0.011811534874141216,-1.170029463537503e-05,-4.97199010848999,0.6338380637153023,-4.338152044774688,XGBoost
SRS2822053,3,39261,2000,1,0.0005,0.0,0.0009368412834725584,-3.028329343896899,0.0005,0.0006976429277259601,0.0004899997325081615,0.0,Rare (1e-4 to 1e-3),Detected in shallow,0.6931472,-3.3010213,0.86567163,66.0,0.00059366494,0.81570995,0.00085873617,0.004203242,1.0317378044128418,0.18649402260780334,0.004590596538037062,0.008773102425038815,-0.0978565588593483,0.11648168414831161,0.26071563363075256,0.04331519454717636,0.05725230276584625,-9.603860962670296e-05,-4.97199010848999,1.6114077436068328,-3.3605823648831574,XGBoost
SRS2822122,1,210905,2000,0,0.0,1.0,1.2681986506366353e-05,-4.896470398296629,0.0,1.5881984055775023e-06,1.4695796136733731e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,91.0,0.00011278986,0.6163142,0.00036509807,0.0045757582,-0.8826916813850403,-0.17153729498386383,-0.0016635910142213106,0.018997913226485252,0.0917138010263443,-0.08611808717250824,0.10731618851423264,0.02998540736734867,0.014029462821781635,-1.2020866051898338e-05,-4.97199010848999,-0.8799799024654931,-5.851970010955483,XGBoost
SRS2822218,3,260520,2000,8,0.004,0.0,0.0037698390568710344,-2.4236760384096834,0.004,0.004209064063906758,0.004566409585232436,0.0,Common (1e-3 to 1e-2),Detected in shallow,2.1972246,-2.397939,0.36666667,59.0,0.00070851785,0.52567977,0.001622775,0.0094716055,2.1607449054718018,0.4052012860774994,0.0032860503997653723,-0.04972810670733452,-0.02621021866798401,0.05589624121785164,-0.04885684698820114,0.04633256793022156,0.04359874501824379,8.093496035144199e-06,-4.97199010848999,2.590272717247899,-2.3817173912420913,XGBoost
SRS2822279,2,139050,2000,0,0.0,1.0,0.0,-8.0,0.0,2.871311131656462e-08,4.872390171966643e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,105.0,0.000108924454,0.1691843,0.0010676667,0.013813187,-1.060465931892395,-0.20708537101745605,-0.0016788598150014877,0.01838877610862255,0.27293387055397034,-0.15885472297668457,-1.0859469175338745,-0.07335198670625687,0.014423011802136898,-1.0856140761461575e-05,-4.97199010848999,-2.2816489876177,-7.25363909610769,XGBoost
SRS2822269,4,79943,2000,2,0.001,0.0,0.0005763391282655634,-3.2393143593787985,0.001,0.000665038473840724,0.0007774887425759144,0.0,Rare (1e-4 to 1e-3),Detected in shallow,1.0986123,-2.9999957,0.59210527,75.0,0.001270166,0.20845921,0.0076001454,0.09180757,1.8721429109573364,0.3588618338108063,0.004864197224378586,0.008626218885183334,-0.03185458853840828,0.04631920903921127,-0.3912074863910675,-0.016182757914066315,-0.029027529060840607,-0.0002894685312639922,-4.97199010848999,1.8222525394812692,-3.149737569008721,XGBoost
SRS2822026,4,260520,2000,5,0.0025,0.0,0.0012163236378611858,-2.9149472826226908,0.0025,0.002701791103732051,0.0024094502749959236,0.0,Common (1e-3 to 1e-2),Detected in shallow,1.7917595,-2.6020582,0.46031746,62.0,0.00070851785,0.52567977,0.001622775,0.0094716055,1.960891842842102,0.3492182791233063,0.0033919450361281633,-0.0450013130903244,0.02041279710829258,0.055560797452926636,-0.05120052769780159,0.04496460780501366,0.049384705722332,-2.7471374778542668e-05,-4.97199010848999,2.387595662927197,-2.5843944455627934,XGBoost
