model,subgroup_variable,subgroup,number_of_rows,importance_rank,feature,mean_abs_SHAP,importance_percent,mean_signed_SHAP
Random Forest,abundance_group,Dominant (>=1e-2),17,3,otu_prevalence_train,0.7430267800036752,19.41312065965739,0.6852174274132494
Random Forest,abundance_group,Dominant (>=1e-2),17,4,zero_in_shallow,0.5906027428521589,15.430725537048415,0.5906027428521589
Random Forest,abundance_group,Dominant (>=1e-2),17,5,shallow_rank_norm,0.5392014299670281,14.087759286089184,0.5392014299670281
Random Forest,abundance_group,Dominant (>=1e-2),17,6,shallow_richness,0.08284438902865353,2.1644820395045428,-0.019350798313907975
Random Forest,abundance_group,Dominant (>=1e-2),17,7,otu_mean_ra_train,0.04872115474358002,1.2729415428475939,0.04599378277721533
Random Forest,abundance_group,Dominant (>=1e-2),17,8,otu_max_ra_train,0.020126763050644883,0.5258535628938846,0.010658397115024662
Random Forest,abundance_group,Dominant (>=1e-2),17,9,otu_std_ra_train,0.012809917723276977,0.33468575439640225,-0.007843157814362671
Random Forest,abundance_group,Dominant (>=1e-2),17,10,is_other,0.00021990592653974467,0.005745499893918631,-0.00018628035808026925
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,1,otu_prevalence_train,0.525121928523466,22.095160490589887,0.5093862151202151
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,2,zero_in_shallow,0.4817527726413067,20.270349132488512,0.4687725963739951
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,3,shallow_rank_norm,0.4138794881814954,17.41449598352603,0.4027203161056557
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,4,log1p_shallow_count,0.3618729877153599,15.226257572716925,0.3478370262743873
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,5,log10_shallow_ra,0.36136777668802067,15.205000188242307,0.34692378617008934
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,6,shallow_richness,0.126659426016595,5.329353419598443,0.04386689295789975
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,7,otu_mean_ra_train,0.06547315062832833,2.7548645226550184,0.057622176098112564
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,8,otu_std_ra_train,0.02201717528447255,0.926400127352768,0.007198099975377861
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,9,otu_max_ra_train,0.01834704471492295,0.7719748033453844,0.00878144991796278
Random Forest,abundance_group,Common (1e-3 to 1e-2),33,10,is_other,0.00014601490812340373,0.006143759484729218,-0.00014139258526126383
Random Forest,shallow_detection_group,Shallow zero,208,1,otu_prevalence_train,0.6224274719577374,27.73668804365257,0.030857148536824905
Random Forest,shallow_detection_group,Shallow zero,208,2,shallow_richness,0.3324697137259379,14.815555464757763,0.016213139936507207
Random Forest,shallow_detection_group,Shallow zero,208,3,log10_shallow_ra,0.28987207498967543,12.917314351929521,-0.28987207498967543
Random Forest,shallow_detection_group,Shallow zero,208,4,log1p_shallow_count,0.28451098456219437,12.678412793980693,-0.28451098456219437
Random Forest,shallow_detection_group,Shallow zero,208,5,zero_in_shallow,0.27580268820925846,12.29035264205112,-0.27580268820925846
Random Forest,shallow_detection_group,Shallow zero,208,6,shallow_rank_norm,0.23599493495498347,10.516434742412699,-0.23599493495498347
Random Forest,shallow_detection_group,Shallow zero,208,7,otu_mean_ra_train,0.07924362244515509,3.5312638568104395,-0.002190108021054622
Random Forest,shallow_detection_group,Shallow zero,208,8,otu_std_ra_train,0.06444976727505956,2.872018299211115,-0.001269273668424373
Random Forest,shallow_detection_group,Shallow zero,208,9,otu_max_ra_train,0.05927395702339589,2.641373218793968,0.002675619917987294
Random Forest,shallow_detection_group,Shallow zero,208,10,is_other,1.3163341258898567e-05,0.0005865864001179579,-1.3163341258898567e-05
Random Forest,shallow_detection_group,Detected in shallow,92,1,zero_in_shallow,0.5052401748273769,21.079412652697776,0.5052401748273769
Random Forest,shallow_detection_group,Detected in shallow,92,2,otu_prevalence_train,0.44190080705917667,18.436794870366718,0.40254669307883
Random Forest,shallow_detection_group,Detected in shallow,92,3,shallow_rank_norm,0.4404516846641236,18.376335210839397,0.4404516846641236
Random Forest,shallow_detection_group,Detected in shallow,92,4,log1p_shallow_count,0.38027056055148195,15.865484308084039,0.38027056055148195
Random Forest,shallow_detection_group,Detected in shallow,92,5,log10_shallow_ra,0.37685656954488067,15.723047247837718,0.3767223000645082
Random Forest,shallow_detection_group,Detected in shallow,92,6,shallow_richness,0.133628087416658,5.575173426398462,0.040914102474904145
Random Forest,shallow_detection_group,Detected in shallow,92,7,otu_mean_ra_train,0.07244815634792268,3.022650730628868,0.029411286265923688
Random Forest,shallow_detection_group,Detected in shallow,92,8,otu_max_ra_train,0.02324014916934288,0.9696154796443257,0.01074327927588716
Random Forest,shallow_detection_group,Detected in shallow,92,9,otu_std_ra_train,0.022686325144056205,0.9465090725380723,0.0007023147545881161
Random Forest,shallow_detection_group,Detected in shallow,92,10,is_other,0.0001192908397833648,0.004977000964619546,-0.00011141941241095502
XGBoost,abundance_group,Very rare (<1e-4),68,1,log1p_shallow_count,0.8900714315035764,41.41778786081577,-0.7659290143672157
XGBoost,abundance_group,Very rare (<1e-4),68,2,otu_prevalence_train,0.4910550594795495,22.850316909000277,0.16269666765926077
XGBoost,abundance_group,Very rare (<1e-4),68,3,shallow_richness,0.34405360791681555,16.00988284881234,-0.004699730714920032
XGBoost,abundance_group,Very rare (<1e-4),68,4,log10_shallow_ra,0.17351825469556978,8.074343258967112,-0.14997520670294762
XGBoost,abundance_group,Very rare (<1e-4),68,5,otu_std_ra_train,0.08712782003011157,4.054328044982305,-3.875476763556328e-06
XGBoost,abundance_group,Very rare (<1e-4),68,6,otu_mean_ra_train,0.08126751331763123,3.7816297742302565,0.018741043246871626
XGBoost,abundance_group,Very rare (<1e-4),68,7,otu_max_ra_train,0.056564792423159815,2.6321354557081964,0.0030590282361064214
XGBoost,abundance_group,Very rare (<1e-4),68,8,shallow_rank_norm,0.023155295129125827,1.0774877920670132,0.02196794342564638
XGBoost,abundance_group,Very rare (<1e-4),68,9,zero_in_shallow,0.0021698859023565414,0.10097152970538513,-0.0017158087519098498
