sample_id,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,zero_in_shallow,target_reference_ra,target_log10_reference_ra,pred_raw_shallow_ra,pred_random_forest_ra,pred_xgboost_ra,is_other,abundance_group,shallow_detection_group,log1p_shallow_count,log10_shallow_ra,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,SHAP__log1p_shallow_count,SHAP__log10_shallow_ra,SHAP__zero_in_shallow,SHAP__shallow_rank_norm,SHAP__shallow_richness,SHAP__otu_mean_ra_train,SHAP__otu_prevalence_train,SHAP__otu_std_ra_train,SHAP__otu_max_ra_train,SHAP__is_other,SHAP_base_value,SHAP_sum,SHAP_reconstructed_log_prediction,model
SRS2822025,5,182860,2000,0,0.0,1.0,0.00016960240350834686,-3.770542391594264,0.0,3.3939570225263975e-05,3.256851331448384e-05,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,68.0,0.0008390357,0.9667674,0.0023867982,0.034942154,-0.14542699961038674,-0.1710347842206437,-0.1122928645286188,-0.4221806354223701,-0.2871024415322098,0.13430748485413121,1.5159657142587866,-0.018904535887707935,-0.005486495907323114,-1.6447364021852755e-05,-4.971818744832586,0.4878279946396356,-4.48399075019295,Random Forest
SRS2822275,4,232457,2000,0,0.0,1.0,0.0,-8.0,0.0,0.0,1.5502749114197637e-09,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,65.0,8.3914376e-05,0.43806645,0.00015031584,0.0009858626,-0.19285423391768408,-0.2275047106348904,-0.1776623236233983,-0.7011519102582207,-0.6963933088908268,-0.06419260727540849,-0.6705398274668815,-0.07574263170149814,-0.222130347438836,-9.353959747076083e-06,-4.971818744832586,-3.0281812551673912,-7.999999999999977,Random Forest
SRS2822183,5,7129,2000,0,0.0,1.0,6.893778365025564e-05,-4.161479689806253,0.0,7.743277785134425e-07,1.8094862765053619e-06,0.0,Very rare (<1e-4),Shallow zero,0.0,-8.0,1.0,105.0,0.00014564939,0.47734138,0.0005902907,0.006327274,-0.17030496664904907,-0.20141831188466686,-0.1476474676954361,-0.5767747146715164,0.39681665604801153,-0.02389568698013169,-0.30026004388939154,-0.059676293019548306,-0.061627982409702145,-8.991692096825768e-06,-4.971818744832586,-1.1447978028435275,-6.116616547676113,Random Forest
SRS2821972,2,232457,2000,0,0.0,1.0,0.00022407499043013065,-3.649587232227444,0.0,5.381681841833908e-06,3.443809164848631e-06,0.0,Rare (1e-4 to 1e-3),Shallow zero,0.0,-8.0,1.0,94.0,8.3914376e-05,0.43806645,0.00015031584,0.0009858626,-0.1622939591938412,-0.18893586461310122,-0.13592571408590295,-0.5417477456976314,0.5433120498222013,0.004233034349095475,-0.164364077419348,0.2349898442462301,0.10194473039899178,-9.393387587870445e-06,-4.971818744832586,-0.30879709558089397,-5.280615840413479,Random Forest
SRS2821843,5,118090,2000,135,0.0675,0.0,0.0665257550581566,-1.1770101222838985,0.0675,0.07102171884446708,0.07020881906806216,0.0,Dominant (>=1e-2),Detected in shallow,4.912655,-1.1706961,0.047169812,105.0,0.050860923,0.95770395,0.060766596,0.24860331,0.6914133036613055,0.814117159616943,0.3276844432442635,1.302331619270148,0.1717321801316134,0.037327737109505287,0.501722382422066,-0.030373967092291395,-0.00795408254963478,-1.1378409886838475e-05,-4.971818744832586,3.8079893974040315,-1.1638293474285542,Random Forest
SRS2822220,5,83909,2000,0,0.0,1.0,0.0,-8.0,0.0,1.659483125528882e-08,4.006826394181934e-08,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,56.0,0.0002642183,0.62537766,0.000567219,0.0059502665,-0.18855564547642353,-0.22259396024444894,-0.1662346826637894,-0.6482302041596211,-0.834627238880855,-0.15119447690898194,-0.16457468131474998,-0.1911726642935223,-0.0439316347824,-9.449371386121496e-06,-4.971818744832586,-2.6111246380961783,-7.5829433829287645,Random Forest
SRS2822218,4,168997,2000,0,0.0,1.0,0.0,-8.0,0.0,5.713791158028165e-07,5.239286566514464e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,60.0,0.000349423,0.51963747,0.0011893368,0.011677807,-0.18249944815573307,-0.21578680685103582,-0.1647179712877695,-0.6363440626655901,-0.2255472279319921,0.08128670897620373,-0.1579640013008447,0.15844478093294193,0.07139443507433318,-9.282605696680832e-06,-4.971818744832586,-1.2717428758151834,-6.243561620647769,Random Forest
SRS2822269,4,99344,2000,0,0.0,1.0,0.0,-8.0,0.0,8.396804723878445e-08,1.674336797806632e-07,0.0,Reference zero,Shallow zero,0.0,-8.0,1.0,75.0,9.211406e-05,0.6283988,0.000105408566,0.0006966057,-0.17631294042238962,-0.2100305759989033,-0.15605876444356012,-0.6088007422772491,-0.5724436037837523,-0.042586234800769784,-0.14053703737817352,-0.047165837015432574,-0.10824145061233041,-1.1574831212651836e-05,-4.971818744832586,-2.0621887615637737,-7.034007506396359,Random Forest
SRS2822125,3,28602,2000,2,0.001,0.0,0.001142426284943964,-2.942168011712258,0.001,0.001302435399882913,0.0011965859720478365,0.0,Common (1e-3 to 1e-2),Detected in shallow,1.0986123,-2.9999957,0.53246754,76.0,0.014775581,1.0,0.0135069,0.05472452,0.017164752319423875,0.020891507726296124,0.19132609815853763,0.7456629918931038,-0.032082972952648794,0.16468428187092718,0.9455821817145466,0.015993585009654844,0.012317083064599272,-0.002549885048442695,-4.971818744832586,2.078989623755998,-2.8928291210765877,Random Forest
SRS2822149,5,222950,2000,1,0.0005,0.0,0.00015243404505514848,-3.816889535878469,0.0005,0.0003181516536322034,0.0003276955400242362,0.0,Rare (1e-4 to 1e-3),Detected in shallow,0.6931472,-3.3010213,0.9052632,94.0,0.00013022231,0.40785497,0.00025886897,0.001530232,-0.029460995569028127,-0.021746723455928672,0.2826227848655091,1.088343042728501,0.17521170529810323,-0.04382397337176601,-0.09188509549531299,0.08141354399665672,0.026138714932999574,-1.6286444699984047e-05,-4.971818744832586,1.466796717485034,-3.5050220273475516,Random Forest
