sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other,pred_raw_shallow_ra,pred_training_mean_ra,pred_random_forest_ra,pred_xgboost_ra,log1p_shallow_count,abundance_group,shallow_detection_group
SRS2821925,test,4,117212,2000,0,0.0,-8.0,1,48,1.0,47,0.00020029076209,0.9305135951661632,0.0001987850969851,0.001337816399498,0.0,-8.0,0,0.0,0.00020029076209000226,6.60941929605562e-05,3.2288708644709665e-05,0.0,Reference zero,Shallow zero
SRS2821892,test,3,39261,2000,1,0.0005,-3.3010213098612007,0,95,0.8189655172413793,115,0.0005936649204949,0.8157099697885196,0.0008587361748811,0.0042032418373507,0.0007619607790714773,-3.118061683163477,0,0.0005,0.0005936649204949067,0.00041706277196877054,0.0002629300020148278,0.6931471805599453,Rare (1e-4 to 1e-3),Detected in shallow
SRS2821854,test,1,210905,2000,0,0.0,-8.0,1,90,1.0,89,0.0001127898579517,0.6163141993957704,0.0003650980735082,0.0045757583212379,0.0,-8.0,0,0.0,0.00011278985795170127,2.151438488450858e-06,1.6402556604308879e-06,0.0,Reference zero,Shallow zero
SRS2822111,test,3,260520,2000,6,0.003,-2.5228772976344773,0,28,0.3835616438356164,72,0.0007085178752408,0.525679758308157,0.0016227750016784,0.00947160589283,0.0023371974998664465,-2.6313027287517294,0,0.003,0.000708517875240808,0.002511639887383827,0.0028521007948654645,1.9459101490553132,Common (1e-3 to 1e-2),Detected in shallow
SRS2821824,test,2,139050,2000,0,0.0,-8.0,1,119,1.0,118,0.0001089244535117,0.1691842900302115,0.001067666733689,0.0138131871554489,0.0,-8.0,0,0.0,0.00010892445351170123,1.6685001877397776e-07,7.632871270284885e-08,0.0,Reference zero,Shallow zero
SRS2822168,test,4,79943,2000,0,0.0,-8.0,1,68,1.0,67,0.0012701659821695,0.2084592145015106,0.0076001453449412,0.091807566341469,0.0,-8.0,0,0.0,0.0012701659821695143,2.0261147951890404e-08,3.396741644083027e-08,0.0,Reference zero,Shallow zero
SRS2821905,test,4,260520,2000,0,0.0,-8.0,1,77,1.0,76,0.0007085178752408,0.525679758308157,0.0016227750016784,0.00947160589283,0.00033937068870116936,-3.4693128733593177,0,0.0,0.000708517875240808,6.666441013861855e-07,5.88170654743617e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822136,test,3,207119,2000,0,0.0,-8.0,1,55,1.0,54,0.0020778196068682,0.8912386706948641,0.0024632456707371,0.0131605700449159,1.0107442109625317e-05,-4.994929271892383,0,0.0,0.0020778196068682235,3.8771452983604236e-07,1.6781242509484522e-07,0.0,Very rare (<1e-4),Shallow zero
SRS2822256,test,4,101509,2000,0,0.0,-8.0,1,80,1.0,79,0.0003506149536531,0.2930513595166163,0.0015501347112882,0.0150016329024577,0.0,-8.0,0,0.0,0.000350614953653104,1.710016623104227e-08,2.7185981461502407e-08,0.0,Reference zero,Shallow zero
SRS2821843,test,5,66728,2000,2,0.001,-2.9999956570768957,0,69,0.6509433962264151,105,0.0003836266399621,0.6978851963746223,0.0007673526594138,0.0055927798309006,0.0014172612647835013,-2.8485470181197754,0,0.001,0.00038362663996210434,0.000727194294832643,0.0006950493746431785,1.0986122886681098,Common (1e-3 to 1e-2),Detected in shallow
SRS2822120,test,3,95092,2000,0,0.0,-8.0,1,103,1.0,102,0.000215510403044,0.5045317220543807,0.0010910212379472,0.017478415210132,0.0,-8.0,0,0.0,0.00021551040304400244,1.479677322312765e-06,9.740972046039662e-07,0.0,Reference zero,Shallow zero
SRS2821860,test,2,6864,2000,0,0.0,-8.0,1,91,1.0,90,0.0001286923847759,0.2930513595166163,0.0003793532834035,0.0027095443465216,0.0,-8.0,0,0.0,0.00012869238477590146,2.5646345805593473e-08,3.3050433505008035e-08,0.0,Reference zero,Shallow zero
SRS2821970,test,1,34262,2000,0,0.0,-8.0,1,109,1.0,108,0.0007483980248292,0.9395770392749244,0.000999256381279,0.0145350534119432,0.0002889143561543573,-3.539215845841589,0,0.0,0.0007483980248292084,0.0002314315720766008,0.00014531343263293276,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2821991,test,2,132485,2000,0,0.0,-8.0,1,91,1.0,90,9.724252693523532e-05,0.2900302114803625,0.0008348412603537,0.0125849484017115,0.00011528595720969554,-3.9381859207391496,0,0.0,9.724252693523641e-05,2.369340559346062e-07,1.121208363680766e-07,0.0,Rare (1e-4 to 1e-3),Shallow zero
SRS2822243,test,5,189417,2000,0,0.0,-8.0,1,81,1.0,80,0.0001201573041043,0.4954682779456193,0.0002157882329578,0.0018350831804097,0.0,-8.0,0,0.0,0.00012015730410430136,8.381610487572624e-08,1.462842119073293e-07,0.0,Reference zero,Shallow zero
