sample_id,split,subsample_repeat,otu_id,shallow_depth,shallow_count,shallow_ra,log10_shallow_ra,log1p_shallow_count,zero_in_shallow,shallow_rank,shallow_rank_norm,shallow_richness,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,target_reference_ra,target_log10_reference_ra,is_other
SRS2821814,train,1,234685,2000,16,0.008,-2.0969094701402935,2.833213344056216,0,27,0.24324324324324326,110,0.0061821605630215,0.9969788519637462,0.0044051631371701,0.0223335404762265,0.008469764360745717,-2.072128159349143,0
SRS2821814,train,1,21282,2000,5,0.0025,-2.6020582541535093,1.791759469228055,0,42,0.3783783783783784,110,0.0059784422652986,1.0,0.0098200487478248,0.0630847447429379,0.00356455632314438,-2.447993300292369,0
SRS2821814,train,1,44470,2000,19,0.0095,-2.0222759375593067,2.995732273553991,0,23,0.2072072072072072,110,0.0052578059728448,0.9546827794561934,0.0417782686220673,0.5880185523360106,0.010299359641651682,-1.9871893548608188,0
SRS2821814,train,1,42738,2000,11,0.0055,-2.2596365208801434,2.4849066497880004,0,29,0.26126126126126126,110,0.004662586966442,0.9939577039274924,0.003631630128436,0.0198352032752053,0.006261632125169553,-2.2033117574641494,0
SRS2821814,train,1,117182,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0040717053952754,0.9879154078549848,0.0052564785415141,0.0258350951374207,0.0009463423866754992,-3.0239471182578446,0
SRS2821814,train,1,136781,2000,54,0.027,-1.5686360749912343,4.007333185232471,0,10,0.09009009009009009,110,0.0039380646990787,0.8549848942598187,0.0100362619302994,0.076233483413272,0.029967508911390807,-1.523349211932444,0
SRS2821814,train,1,62872,2000,11,0.0055,-2.2596365208801434,2.4849066497880004,0,30,0.2702702702702703,110,0.0038796188624384,0.8398791540785498,0.004543477046185,0.0208477446747608,0.0054414687233841205,-2.2642830646145273,0
SRS2821814,train,1,21519,2000,0,0.0,-8.0,0.0,1,111,1.0,110,0.0037110457057562,0.9909365558912386,0.0037973841082382,0.0427330401557205,0.0010409766253430491,-2.982554850294483,0
SRS2821814,train,1,194712,2000,4,0.002,-2.698967832869038,1.6094379124341003,0,46,0.4144144144144144,110,0.0037103535847312,0.8882175226586103,0.0044906996230922,0.0207939263597025,0.002113497996908615,-2.6749961045859854,0
SRS2821814,train,1,149360,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,67,0.6036036036036037,110,0.0036443757842617,0.9818731117824774,0.0039649076588021,0.0222320688924422,0.0005047159395602663,-3.296944374841511,0
SRS2821814,train,1,258109,2000,11,0.0055,-2.2596365208801434,2.4849066497880004,0,31,0.27927927927927926,110,0.0034453676064137,0.8066465256797583,0.0276611420822812,0.4874151893193258,0.006750575691618561,-2.170658545449973,0
SRS2821814,train,1,32169,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,68,0.6126126126126126,110,0.0033968085870039,0.6797583081570997,0.0050051107396281,0.0338869929858583,0.002570896817135106,-2.589913664134044,0
SRS2821814,train,1,149885,2000,1,0.0005,-3.3010213098612007,0.6931471805599453,0,79,0.7117117117117117,110,0.0033318743847791,0.8036253776435045,0.0066789277969529,0.0332623271406621,0.000835935774896691,-3.0778218929281205,0
SRS2821814,train,1,233398,2000,2,0.001,-2.9999956570768957,1.0986122886681098,0,69,0.6216216216216216,110,0.0032046452428914,0.9969788519637462,0.0028195239268681,0.0189130815480707,0.001135610864010599,-2.9447666370677763,0
