sample_id,project_id,classification,run_count,first_run_id,calculated_total_reads,recorded_total_reads,all_runs_match_recorded,read_difference,minimum_reference_depth,eligible_reference_sample
SRS2822077,MGYS00002437,seawater,1,SRR6457143,93518.0,93518.0,True,0.0,10000,True
SRS2822090,MGYS00002437,seawater,1,SRR6457129,93221.0,93221.0,True,0.0,10000,True
SRS2822140,MGYS00002437,seawater,1,SRR6457080,93115.0,93115.0,True,0.0,10000,True
SRS2822003,MGYS00002437,seawater,1,SRR6457215,93049.0,93049.0,True,0.0,10000,True
SRS2822047,MGYS00002437,seawater,1,SRR6457172,92816.0,92816.0,True,0.0,10000,True
SRS2822149,MGYS00002437,seawater,1,SRR6457546,91843.0,91843.0,True,0.0,10000,True
SRS2821923,MGYS00002437,seawater,1,SRR6457298,91581.0,91581.0,True,0.0,10000,True
SRS2822079,MGYS00002437,seawater,1,SRR6457141,91482.0,91482.0,True,0.0,10000,True
SRS2822170,MGYS00002437,seawater,1,SRR6457525,91481.0,91481.0,True,0.0,10000,True
SRS2822212,MGYS00002437,seawater,1,SRR6457483,91412.0,91412.0,True,0.0,10000,True
SRS2822369,MGYS00002437,seawater,1,SRR6457513,91189.0,91189.0,True,0.0,10000,True
SRS2822007,MGYS00002437,seawater,1,SRR6457210,90966.0,90966.0,True,0.0,10000,True
SRS2822067,MGYS00002437,seawater,1,SRR6457153,90897.0,90897.0,True,0.0,10000,True
SRS2822120,MGYS00002437,seawater,1,SRR6457101,90839.0,90839.0,True,0.0,10000,True
SRS2822154,MGYS00002437,seawater,1,SRR6457541,90570.0,90570.0,True,0.0,10000,True
SRS2822147,MGYS00002437,seawater,1,SRR6457549,90427.0,90427.0,True,0.0,10000,True
SRS2821828,MGYS00002437,seawater,1,SRR6457397,90330.0,90330.0,True,0.0,10000,True
SRS2822254,MGYS00002437,seawater,1,SRR6457440,89977.0,89977.0,True,0.0,10000,True
SRS2822081,MGYS00002437,seawater,1,SRR6457139,89670.0,89670.0,True,0.0,10000,True
SRS2822218,MGYS00002437,seawater,1,SRR6457477,89659.0,89659.0,True,0.0,10000,True
SRS2821994,MGYS00002437,seawater,1,SRR6457226,89627.0,89627.0,True,0.0,10000,True
SRS2821997,MGYS00002437,seawater,1,SRR6457222,89623.0,89623.0,True,0.0,10000,True
SRS2821971,MGYS00002437,seawater,1,SRR6457250,89589.0,89589.0,True,0.0,10000,True
SRS2821857,MGYS00002437,seawater,1,SRR6457368,89564.0,89564.0,True,0.0,10000,True
SRS2822222,MGYS00002437,seawater,1,SRR6457473,89234.0,89234.0,True,0.0,10000,True
SRS2822146,MGYS00002437,seawater,1,SRR6457551,89003.0,89003.0,True,0.0,10000,True
SRS2821980,MGYS00002437,seawater,1,SRR6457240,88998.0,88998.0,True,0.0,10000,True
SRS2822187,MGYS00002437,seawater,1,SRR6457508,88945.0,88945.0,True,0.0,10000,True
SRS2822024,MGYS00002437,seawater,1,SRR6457194,88914.0,88914.0,True,0.0,10000,True
SRS2822037,MGYS00002437,seawater,1,SRR6457181,88726.0,88726.0,True,0.0,10000,True
SRS2822138,MGYS00002437,seawater,1,SRR6457082,88626.0,88626.0,True,0.0,10000,True
SRS2821917,MGYS00002437,seawater,1,SRR6457304,88321.0,88321.0,True,0.0,10000,True
SRS2821952,MGYS00002437,seawater,1,SRR6457269,88243.0,88243.0,True,0.0,10000,True
SRS2821831,MGYS00002437,seawater,1,SRR6457393,88227.0,88227.0,True,0.0,10000,True
SRS2822125,MGYS00002437,seawater,1,SRR6457096,87533.0,87533.0,True,0.0,10000,True
SRS2822275,MGYS00002437,seawater,1,SRR6457421,87406.0,87406.0,True,0.0,10000,True
SRS2822241,MGYS00002437,seawater,1,SRR6457454,87203.0,87203.0,True,0.0,10000,True
SRS2822183,MGYS00002437,seawater,1,SRR6457512,87035.0,87035.0,True,0.0,10000,True
SRS2821858,MGYS00002437,seawater,1,SRR6457366,86643.0,86643.0,True,0.0,10000,True
SRS2822227,MGYS00002437,seawater,1,SRR6457466,86409.0,86409.0,True,0.0,10000,True
SRS2822209,MGYS00002437,seawater,1,SRR6457486,86348.0,86348.0,True,0.0,10000,True
SRS2821861,MGYS00002437,seawater,1,SRR6457363,86165.0,86165.0,True,0.0,10000,True
SRS2821867,MGYS00002437,seawater,1,SRR6457357,86124.0,86124.0,True,0.0,10000,True
SRS2821947,MGYS00002437,seawater,1,SRR6457273,85916.0,85916.0,True,0.0,10000,True
SRS2821950,MGYS00002437,seawater,1,SRR6457271,85656.0,85656.0,True,0.0,10000,True
SRS2821902,MGYS00002437,seawater,1,SRR6457320,85585.0,85585.0,True,0.0,10000,True
SRS2821915,MGYS00002437,seawater,1,SRR6457306,85302.0,85302.0,True,0.0,10000,True
SRS2822099,MGYS00002437,seawater,1,SRR6457119,85286.0,85286.0,True,0.0,10000,True
SRS2821904,MGYS00002437,seawater,1,SRR6457318,84676.0,84676.0,True,0.0,10000,True
SRS2821871,MGYS00002437,seawater,1,SRR6457353,84634.0,84634.0,True,0.0,10000,True
SRS2821967,MGYS00002437,seawater,1,SRR6457254,84466.0,84466.0,True,0.0,10000,True
SRS2821847,MGYS00002437,seawater,1,SRR6457377,84427.0,84427.0,True,0.0,10000,True
SRS2821936,MGYS00002437,seawater,1,SRR6457284,84304.0,84304.0,True,0.0,10000,True
SRS2821969,MGYS00002437,seawater,1,SRR6457252,84190.0,84190.0,True,0.0,10000,True
SRS2822031,MGYS00002437,seawater,1,SRR6457187,84100.0,84100.0,True,0.0,10000,True
SRS2821940,MGYS00002437,seawater,1,SRR6457280,83882.0,83882.0,True,0.0,10000,True
SRS2821984,MGYS00002437,seawater,1,SRR6457236,83442.0,83442.0,True,0.0,10000,True
SRS2821885,MGYS00002437,seawater,1,SRR6457338,83243.0,83243.0,True,0.0,10000,True
SRS2822033,MGYS00002437,seawater,1,SRR6457186,83235.0,83235.0,True,0.0,10000,True
SRS2822168,MGYS00002437,seawater,1,SRR6457527,83151.0,83151.0,True,0.0,10000,True
SRS2822073,MGYS00002437,seawater,1,SRR6457147,82655.0,82655.0,True,0.0,10000,True
SRS2822025,MGYS00002437,seawater,1,SRR6457193,82546.0,82546.0,True,0.0,10000,True
SRS2821939,MGYS00002437,seawater,1,SRR6457281,82477.0,82477.0,True,0.0,10000,True
SRS2821817,MGYS00002437,seawater,1,SRR6457406,82447.0,82447.0,True,0.0,10000,True
SRS2822249,MGYS00002437,seawater,1,SRR6457449,82034.0,82034.0,True,0.0,10000,True
SRS2822167,MGYS00002437,seawater,1,SRR6457528,81902.0,81902.0,True,0.0,10000,True
SRS2822181,MGYS00002437,seawater,1,SRR6457514,81895.0,81895.0,True,0.0,10000,True
SRS2821843,MGYS00002437,seawater,1,SRR6457381,81848.0,81848.0,True,0.0,10000,True
SRS2821977,MGYS00002437,seawater,1,SRR6457243,81616.0,81616.0,True,0.0,10000,True
SRS2822115,MGYS00002437,seawater,1,SRR6457105,81489.0,81489.0,True,0.0,10000,True
SRS2821887,MGYS00002437,seawater,1,SRR6457336,81207.0,81207.0,True,0.0,10000,True
SRS2822165,MGYS00002437,seawater,1,SRR6457531,80896.0,80896.0,True,0.0,10000,True
