otu_id,otu_mean_ra_train,otu_prevalence_train,otu_std_ra_train,otu_max_ra_train,is_other
182860,0.000839035720722125,0.9667673716012085,0.002386798112754667,0.034942154236960545,0
121481,0.0008315500769304366,0.3323262839879154,0.0020638964863570666,0.01199959551925216,0
249900,0.0007808646005963128,0.9486404833836858,0.00213856486790125,0.02629283114226407,0
145222,0.0007604187236067197,0.6918429003021148,0.0026780719289448973,0.03147096186572709,0
34262,0.0007483980248292767,0.9395770392749244,0.0009992563812790578,0.01453505341194326,0
105705,0.0007462551063153694,0.9123867069486404,0.0008710714160370687,0.007954446666087108,0
245736,0.0007176538529003502,0.6888217522658611,0.0008582844944110852,0.006581504417899619,0
260520,0.0007085178752408639,0.525679758308157,0.001622775001678416,0.009471605892830023,0
73737,0.0006970791518131583,0.743202416918429,0.003217601419826037,0.053531919486266254,0
157587,0.0006541112893560749,0.8036253776435045,0.0019159370545271737,0.02106427012162277,0
93004,0.000639745760901533,0.7764350453172205,0.000988245415965737,0.011545293072824156,0
170659,0.0006393986810023838,0.7945619335347432,0.0008578753801034118,0.0049339031410024796,0
233986,0.0006277564998318039,0.6283987915407855,0.0022032620366809583,0.03644160375666466,0
190521,0.0006114829620245756,0.6132930513595166,0.0007990808759467183,0.003845461635371048,0
185862,0.000594487103086473,0.8187311178247734,0.00122930914121685,0.010404817664770827,0
39261,0.0005936649204949107,0.8157099697885196,0.0008587361748811753,0.004203241837350796,0
181023,0.0005816964093084034,0.6404833836858006,0.001003015937603411,0.004021344056917485,0
5592,0.0005709376449736676,0.8368580060422961,0.0010158335425135884,0.007341615605149249,0
55775,0.0005645521438424957,0.716012084592145,0.0019663369107236904,0.0275657336726039,0
18877,0.0005624122937875851,0.7069486404833837,0.0007651000711070406,0.0034255204271402004,0
242803,0.0005601872626808415,0.6737160120845922,0.001398595788985025,0.011823228318073678,0
73614,0.0005529446483244489,0.7190332326283988,0.0012651429607920008,0.012759201163057617,0
230845,0.0005024055307810156,0.9274924471299094,0.0006673250889536755,0.009153291189810354,0
55552,0.0004886600606367334,0.6918429003021148,0.0006489186472599497,0.003464890910075253,0
78943,0.00048411129804334284,0.7462235649546828,0.0006618437590769548,0.006544173168890007,0
209843,0.0004571044555913353,0.8972809667673716,0.0006701024230862608,0.00565566619536115,0
88503,0.00044400847175537117,0.7764350453172205,0.0010493723293255805,0.009021864570662175,0
103906,0.00043566463053594816,0.9365558912386707,0.0006993859073191572,0.005128598848368522,0
1202,0.0004314371075624119,0.8066465256797583,0.003621202349470739,0.06425269368445667,0
172024,0.00040260150933870683,0.5770392749244713,0.0005727760678815131,0.0037015102161681965,0
167065,0.0003985899021353363,0.5861027190332326,0.000558182961340905,0.0030166535807264762,0
66728,0.00038362663996210374,0.6978851963746223,0.0007673526594138668,0.005592779830900657,0
92333,0.00038025767007431163,0.8308157099697885,0.0009877665946945845,0.007414289696181362,0
166377,0.0003786969182435575,0.8036253776435045,0.0007017060294970369,0.007560321715817694,0
104566,0.00037667301729779845,0.6948640483383686,0.0004916157014454618,0.0025684431731947933,0
16188,0.00037278581727431305,0.8429003021148036,0.0009699538571465073,0.009630115999124535,0
409,0.00036896090813217633,0.5015105740181269,0.0015162228135537357,0.014549168018261548,0
101509,0.0003506149536531921,0.2930513595166163,0.001550134711288249,0.015001632902457781,0
168997,0.0003494230173817035,0.5196374622356495,0.0011893367381893753,0.011677806965070613,0
237932,0.0003481783097360429,0.7220543806646526,0.0005457290207813714,0.002996475647813194,0
232486,0.0003445151760852671,0.459214501510574,0.003241903376195268,0.04541710230332985,0
112003,0.00033501313125094387,0.7099697885196374,0.001160510195353713,0.010552233556102708,0
112852,0.0003343208348485663,0.6646525679758308,0.0008769432490963977,0.012987666750566323,0
26524,0.0003335211770506103,0.486404833836858,0.0013181984640334727,0.017430235590715465,0
69372,0.00032684264293608825,0.12084592145015106,0.0055400488726870265,0.10076672052719957,0
125146,0.0003225976755049371,0.918429003021148,0.000816975287231887,0.012352423442289599,0
242853,0.00030124139356412123,0.7009063444108762,0.0004949460319308168,0.005076356867887813,0
219950,0.0003002855896020365,0.4773413897280967,0.0017294893192230981,0.015752468638109356,0
