selection_rank,otu_id,detected_train_samples,otu_prevalence_train,otu_mean_ra_train,otu_std_ra_train,otu_max_ra_train,cumulative_mean_ra,selected_for_model
186,11812,210,0.6344410876132931,0.00015262818003652465,0.00022379224711870105,0.0014181122617241606,0.9824403335083771,True
187,133193,125,0.3776435045317221,0.0001517657167120694,0.0005627595383252899,0.005200743681222049,0.9825920992250892,True
188,81893,40,0.12084592145015106,0.000145966558134994,0.0012360107848366684,0.01456199278159097,0.9827380657832242,True
189,7129,158,0.4773413897280967,0.000145649390308291,0.0005902906799130528,0.006327273734199122,0.9828837151735325,True
190,189462,288,0.8700906344410876,0.00014426623397801816,0.0001666767569086127,0.0009350448719903243,0.9830279814075105,True
191,27862,218,0.6586102719033232,0.00014364218866144414,0.00025194628811001194,0.002438852801163145,0.9831716235961719,True
192,124068,182,0.5498489425981873,0.00014218913068510386,0.0007593415122119851,0.011551025741539265,0.983313812726857,True
193,97979,146,0.44108761329305135,0.00013983569698650442,0.0006051541152007102,0.0063766505803793585,0.9834536484238435,True
194,129390,211,0.6374622356495468,0.00013956127557363858,0.0002292280571613129,0.0016121781456850982,0.9835932096994172,True
195,78621,188,0.56797583081571,0.00013518828386446075,0.0003541799624757117,0.0035969250677165008,0.9837283979832817,True
196,109535,217,0.6555891238670695,0.00013509724247252002,0.00030351089554264785,0.0026359666534339025,0.9838634952257542,True
197,10583,266,0.8036253776435045,0.00013444255822334054,0.0001845876318963424,0.0013976497416186991,0.9839979377839776,True
198,167627,165,0.4984894259818731,0.00013352699021429144,0.0003405113350322277,0.004483097297468555,0.9841314647741919,True
199,221529,179,0.540785498489426,0.00013032936451035868,0.0005200551937006964,0.007790879891527835,0.9842617941387023,True
200,222950,135,0.4078549848942598,0.00013022231091757775,0.0002588689807413627,0.0015302319752524554,0.9843920164496198,True
201,195764,163,0.49244712990936557,0.0001301952160432892,0.0003983852515715072,0.003775484520513466,0.9845222116656631,True
202,6864,97,0.2930513595166163,0.00012869238477597204,0.00037935328340356193,0.0027095443465216577,0.9846509040504391,True
203,49520,213,0.6435045317220544,0.0001272439773504018,0.00029235131382873665,0.0022742821219237097,0.9847781480277895,True
204,26279,243,0.7341389728096677,0.00012595799709626447,0.0002536241438473472,0.002091072351103348,0.9849041060248858,True
205,25843,182,0.5498489425981873,0.00012497834684486547,0.0005230717504980875,0.0060368482947863586,0.9850290843717306,True
206,130514,82,0.24773413897280966,0.00012302898304587118,0.0007161303787485553,0.009275412886717842,0.9851521133547765,True
207,187492,199,0.6012084592145015,0.00012210515668601712,0.0004162651301673092,0.004348800126510549,0.9852742185114625,True
208,189417,164,0.4954682779456193,0.00012015730410434123,0.0002157882329578491,0.001835083180409735,0.9853943758155668,True
209,13412,209,0.6314199395770392,0.00011926530939496821,0.0002055490973112194,0.0013978894293702226,0.9855136411249618,True
210,146804,231,0.6978851963746223,0.00011880644077626042,0.0004070488323287337,0.0048127845396264985,0.985632447565738,True
211,9456,229,0.6918429003021148,0.00011792643077977669,0.0002351788025230572,0.0014995104903771084,0.9857503739965178,True
212,184673,46,0.13897280966767372,0.0001171756616800643,0.0008720866860130322,0.011156369403792084,0.9858675496581978,True
213,67192,253,0.7643504531722054,0.00011505669305201814,0.0002700851744775991,0.003118016004613943,0.9859826063512498,True
214,146247,77,0.2326283987915408,0.00011467333484283996,0.001274338361044431,0.017979877172350712,0.9860972796860926,True
215,11043,240,0.7250755287009063,0.00011438911577075014,0.00027012244739780096,0.0030135610246107484,0.9862116688018634,True
216,199575,163,0.49244712990936557,0.00011434299937143795,0.00025634182078535726,0.0022802062550203407,0.9863260118012348,True
217,126671,135,0.4078549848942598,0.00011400432049220042,0.00023260781224379367,0.0014798853976748041,0.986440016121727,True
218,101376,171,0.5166163141993958,0.00011356175288986621,0.0002474908020033846,0.001833356614052242,0.986553577874617,True
