metric,direction,method_A,method_B,comparison,n_paired_samples,mean_method_A,mean_method_B,mean_oriented_improvement_B_over_A,mean_improvement_ci_low,mean_improvement_ci_high,median_oriented_improvement_B_over_A,median_improvement_ci_low,median_improvement_ci_high,relative_improvement_percent_B_over_A,rank_biserial_effect_B_over_A,wilcoxon_statistic,p_raw,p_holm_within_metric,p_holm_formatted,significance
Top1_cumulative_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.008817523330136556,0.03553890416934174,-0.02672138083920518,-0.03503843756055643,-0.019258380863930807,-0.01443565651361195,-0.024470944726283,-0.009857768889932499,-303.04859810097435,-0.8736681887366818,166.0,1.1773524673927539e-10,2.3547049347855077e-10,<0.001,***
Top5_cumulative_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.009251998562207082,0.16201255100408116,-0.15276055244187411,-0.17183062692802525,-0.13310536757465213,-0.14910849965796916,-0.18846264669434876,-0.12138068530184143,-1651.108691973605,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Top5_cumulative_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.009251998562207082,0.013517983414262072,-0.00426598485205499,-0.005361642621860985,-0.003211132506403159,-0.0039594728133212995,-0.0054368256107669,-0.0030236845197963505,-46.108792855641454,-0.8006088280060882,262.0,3.5586628920331517e-09,7.117325784066303e-09,<0.001,***
Top5_cumulative_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.009251998562207082,0.023980720908578796,-0.014728722346371717,-0.018797840781045086,-0.011011038202366397,-0.00966249064798045,-0.01300473904257485,-0.007365623043017199,-159.19503496829498,-0.9071537290715372,122.0,2.2448799291044373e-11,6.734639787313312e-11,<0.001,***
Top5_cumulative_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.16201255100408116,0.013517983414262072,0.1484945675898191,0.12911631070567786,0.167295596466059,0.14297120972806532,0.1118867133177125,0.18175877730704343,91.65621223140819,1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Top5_cumulative_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.16201255100408116,0.023980720908578796,0.13803183009550235,0.1195608466650928,0.15676262743157682,0.1318418106044873,0.10498450696734304,0.1688050271509507,85.19823263077025,0.9984779299847792,2.0,1.8044082750543946e-13,9.952510814258381e-13,<0.001,***
Top5_cumulative_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.013517983414262072,0.023980720908578796,-0.010462737494316724,-0.01443754876642924,-0.007009566929373978,-0.0050266004087096,-0.009691200837148799,-0.0027243609990655494,-77.39865609894204,-0.7336377473363774,350.0,6.31401006766101e-08,6.31401006766101e-08,<0.001,***
Top10_cumulative_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.008086466572495184,0.144673846536144,-0.1365873799636488,-0.15331877347668973,-0.11891242714398974,-0.15484625808354469,-0.17295932767071198,-0.10888218765231236,-1689.0860642178236,-0.9992389649923896,1.0,1.7300746127616433e-13,1.038044767656986e-12,<0.001,***
Top10_cumulative_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.008086466572495184,0.015376984884540658,-0.007290518312045473,-0.008400869020073795,-0.006181445959853863,-0.0076293596033873996,-0.008719038808108051,-0.00585697221705955,-90.15703270007943,-0.9657534246575342,45.0,1.0696110365437484e-12,3.2088331096312455e-12,<0.001,***
Top10_cumulative_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.008086466572495184,0.018656431874634012,-0.01056996530213883,-0.012715067418290324,-0.008480926238896085,-0.009983262638485847,-0.012385831308824,-0.0062565924035446,-130.71179120545514,-0.939117199391172,80.0,4.365001193735156e-12,8.730002387470312e-12,<0.001,***
Top10_cumulative_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.144673846536144,0.015376984884540658,0.12929686165160334,0.11192112510519125,0.1464825012508844,0.143481689059444,0.1013258087087575,0.16222529758175352,89.37127528388554,0.9923896499238964,10.0,2.5235418306749536e-13,1.2617709153374768e-12,<0.001,***
Top10_cumulative_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.144673846536144,0.018656431874634012,0.12601741466150998,0.107502058967349,0.14314897673414712,0.13064975057754608,0.092728033507258,0.1579315198051166,87.10448894439739,0.9885844748858448,15.0,3.1090006867908204e-13,1.2617709153374768e-12,<0.001,***
Top10_cumulative_error,lower,Random Forest,XGBoost,XGBoost vs Random Forest,72,0.015376984884540658,0.018656431874634012,-0.003279446990093357,-0.005387209501198275,-0.001386706703253954,-0.0027359714714942493,-0.004058258086950699,-0.0004877518167129987,-21.326983246178294,-0.3926940639269406,798.0,0.003783936347952581,0.003783936347952581,0.004,**
Shannon_absolute_error,lower,Raw shallow RA,Training-mean RA,Training-mean RA vs Raw shallow RA,72,0.03984966043697988,0.6293028641223137,-0.5894532036853338,-0.6680323110816996,-0.5103856322549027,-0.5472165150569002,-0.7066266470049545,-0.4646696244214028,-1479.192538208758,-1.0,0.0,1.658751802376397e-13,9.952510814258381e-13,<0.001,***
Shannon_absolute_error,lower,Raw shallow RA,Random Forest,Random Forest vs Raw shallow RA,72,0.03984966043697988,0.08301215778747137,-0.04316249735049149,-0.04733258555943415,-0.03884394396331257,-0.04575785521311784,-0.050407184619878954,-0.041096234662722705,-108.31333787335701,-0.9863013698630136,18.0,3.5222945447482905e-13,1.056688363424487e-12,<0.001,***
Shannon_absolute_error,lower,Raw shallow RA,XGBoost,XGBoost vs Raw shallow RA,72,0.03984966043697988,0.11494770024708595,-0.07509803981010607,-0.09137330306298076,-0.06047460120708713,-0.0632148498815358,-0.07337831300644351,-0.05797890780542214,-188.45339956878587,-0.9703196347031964,39.0,8.37283288315434e-13,1.674566576630868e-12,<0.001,***
Shannon_absolute_error,lower,Training-mean RA,Random Forest,Random Forest vs Training-mean RA,72,0.6293028641223137,0.08301215778747137,0.5462907063348424,0.4657871077089486,0.6289648939498323,0.514816693666422,0.4186785284984708,0.6401109226441134,86.808870176803,0.9992389649923896,1.0,1.7300746127616433e-13,9.952510814258381e-13,<0.001,***
Shannon_absolute_error,lower,Training-mean RA,XGBoost,XGBoost vs Training-mean RA,72,0.6293028641223137,0.11494770024708595,0.5143551638752278,0.4387068742843703,0.5899259063915661,0.451959887978304,0.3921916506971095,0.6325485756699056,81.73412091371884,0.9969558599695586,4.0,1.9626118592755537e-13,9.952510814258381e-13,<0.001,***
