split,method,sample_id,subsample_repeat,shallow_depth,number_of_components,composition_MAE_RA,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_RA_specific,RAD_RMSE_RA_specific,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_Spearman_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Top1_cumulative_error,Top5_cumulative_error,Top10_cumulative_error,true_Shannon_specific,predicted_Shannon_specific,Shannon_absolute_error,true_Simpson_specific,predicted_Simpson_specific,Simpson_absolute_error,true_richness_1read_specific,predicted_richness_1read_specific,richness_1read_absolute_error
train,Raw shallow RA,SRS2822246,2,2000,255,0.0005680584677339083,0.0016749467428895228,0.8030508118166393,0.07242745463607331,0.13276360730110606,0.00034884386805200283,0.0014293174343068496,1.396907460661056,2.317818780570392,0.861832859983609,0.03723821158365802,1.462306114237015,1.4773818994826855,0.01667795521995162,0.02628869226793773,0.022681692336688486,3.178374396194073,3.080065349273818,0.09830904692025477,0.9288447124440273,0.9230483504649628,0.005796361979064524,67,89,22
train,Raw shallow RA,SRS2822246,3,2000,255,0.0004931597138144573,0.0012026845484369574,0.8155055092847572,0.06287786351134331,0.12204456708901666,0.00030689425967056754,0.0009954753474164342,1.2065447186036893,2.1148259709843322,0.8928947185156663,0.019329826612888536,1.0402067503953378,1.4773818994826855,7.835763443855837e-05,0.02351010048860136,0.01755975635546414,3.178374396194073,3.205751937165794,0.02737754097172118,0.9288447124440273,0.9327033630353551,0.003858650591327728,67,101,34
train,Raw shallow RA,SRS2822246,4,2000,255,0.00039074598698505116,0.0009811804528365728,0.8034372331608591,0.049820113340594024,0.11552724576047434,0.00023215378826991947,0.0006642802341076087,1.4481250894458015,2.3677326403684935,0.8536865702659798,0.01607581767426289,1.5788358408347996,1.4773818994826855,0.0008328847974164166,0.006991309024960146,0.012466950524494647,3.178374396194073,3.16602019645888,0.012354199735193028,0.9288447124440273,0.9304789438880018,0.0016342314439744543,67,86,19
train,Raw shallow RA,SRS2822246,5,2000,255,0.0005314312208925437,0.0014798750208448077,0.784138223386358,0.06775748066379932,0.12852744537314756,0.00035456465060956414,0.0012853140308711816,1.3995831325464914,2.317870583356832,0.8621410830583645,0.022464766560555037,1.4699523900633382,1.4773818994826855,0.01151127675721543,0.0134836098866985,0.012749487708406115,3.178374396194073,3.177599420945778,0.0007749752482948402,0.9288447124440273,0.9307436680891896,0.0018989556451622924,67,89,22
train,Raw shallow RA,SRS2821923,1,2000,255,0.00028897358836525505,0.0009774292874175495,0.7526816095161288,0.03684413251657002,0.08029856016728752,0.00021351271653909917,0.0008807395181760979,0.9243311391461103,1.8205879745946782,0.7650609557625618,0.03325019950564892,2.055682953943321,0.0,0.007866714154001864,0.011674560550191448,0.01385962767330362,2.4159651412091874,2.361236021047997,0.05472912016119036,0.830958665463329,0.824858391925459,0.006100273537870016,38,51,13
train,Raw shallow RA,SRS2821923,2,2000,255,0.00024607219024581466,0.0007656988244008207,0.7682181991664266,0.03137420425634137,0.07748435697531408,0.00019939345932270495,0.0007116276401573195,0.8801290103203323,1.7604258491710165,0.7820795352029806,0.027220703109129323,1.957885083166191,0.0,0.0018607081479958265,0.008171057046687968,0.005351119164795026,2.4159651412091874,2.377102180508894,0.03886296070029349,0.830958665463329,0.8286224162100038,0.0023362492533252066,38,54,16
train,Raw shallow RA,SRS2821923,3,2000,255,0.00030954588362900015,0.0011442835420555422,0.7659767540859075,0.03946710016269752,0.08190187002821671,0.00025907230848094457,0.001111410606955951,0.8365446963583312,1.6992735205935592,0.7985767775250182,0.0390451873815748,1.8594277670092603,0.0,0.008002655215367527,0.0020371511615202564,0.00496323127690701,2.4159651412091874,2.42319873680775,0.0072335955985627365,0.830958665463329,0.835008,0.004049334536671001,38,57,19
train,Raw shallow RA,SRS2821923,4,2000,255,0.00032985898479241877,0.0013172190407508965,0.7780775848299675,0.042057020561033394,0.07889376237615787,0.00027383716354673944,0.0011973740340726043,0.8497649427539625,1.7196012599839197,0.7927967011666343,0.03530958880366017,1.8893093930268328,0.0,0.009650803363515648,0.026863977988346943,0.01066489685122085,2.4159651412091874,2.4602242492671405,0.04425910805795308,0.830958665463329,0.8399205010816623,0.008961835618333303,38,56,18
train,Raw shallow RA,SRS2821923,5,2000,255,0.00025790605166625235,0.0008325473904127051,0.706422447166524,0.03288302158744717,0.08884228327836109,0.000182366741468836,0.0006913229420912801,1.0438612319243479,1.96831740510659,0.7212460244020176,0.024814530474382392,2.3229663509878717,0.0,0.00686571315300083,0.005668554544185578,0.000346114159789912,2.4159651412091874,2.38015995253074,0.0358051886784474,0.830958665463329,0.8267166064963862,0.004242058966942741,38,44,6
train,Raw shallow RA,SRS2822064,1,2000,255,0.00058603872816113,0.0012377085307135433,0.8406574822821238,0.07471993784054408,0.1330113703627609,0.000297508327064051,0.0008230521375313598,1.2683791548780958,2.1877368615169517,0.9162197728619007,0.019080577606302756,0.5760963816486769,2.0176792938756316,0.0017573538652579934,0.004363339162105073,0.005934327692380781,3.4866266460713407,3.4848052580486484,0.0018213880226922718,0.947826758936926,0.949021246595097,0.001194487658170984,90,114,24
