depth,method,abundance_group,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
1000,Random Forest,Rare (1e-4 to 1e-3),23080,0.0002795287597472,0.0003837371130825,1.0116500543772935,1.3719359994692606,0.4179185351144813
1000,Random Forest,Reference zero,30180,5.736924445989739e-06,3.3544870582368866e-05,1.4397413603702662,1.75803903566064,
1000,Random Forest,Very rare (<1e-4),20150,4.878029688498408e-05,0.0001043917644801,1.2500776373183808,1.5184092330454746,0.2730016945830278
1000,XGBoost,Dominant (>=1e-2),6185,0.0056823236972413,0.0093884879082336,0.0692624940656724,0.0951929358782519,0.9653756705589964
1000,XGBoost,Common (1e-3 to 1e-2),11845,0.0012343213243846,0.0016625403695607,0.351575439310688,0.6776947989143827,0.7839632210071776
1000,XGBoost,Rare (1e-4 to 1e-3),23080,0.0002829480133476,0.0003841548679315,1.0194457553730452,1.3586192817949625,0.4170828776111555
1000,XGBoost,Reference zero,30180,4.079346591781326e-06,1.954779306505934e-05,1.4610560927261935,1.7477961987782795,
1000,XGBoost,Very rare (<1e-4),20150,4.630155466095726e-05,8.860176080430385e-05,1.222411550307906,1.477566530007009,0.2792253887074274
2000,Raw shallow RA,Dominant (>=1e-2),6185,0.0034191613668052,0.0045936345791757,0.0469490104602343,0.0641718541957016,0.9789079352907872
2000,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0009894040332841,0.0013132142084518,0.3042433787939247,0.9014995221730354,0.8267123799920743
2000,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.0003253526514208,0.0004230568524218,2.4690826608688714,3.2032751334556675,0.4536745969788697
2000,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
2000,Raw shallow RA,Very rare (<1e-4),20150,7.281242021699794e-05,0.0001411002418562,3.3001428469420153,3.381093258323323,0.1813203761219503
2000,Training-mean RA,Dominant (>=1e-2),6185,0.0261701123613643,0.0487549037024166,0.3407450724783856,0.4796723954669536,0.6116647839934387
2000,Training-mean RA,Common (1e-3 to 1e-2),11845,0.0054103551088765,0.0150049606259454,0.4539449926543646,0.5864837756065066,0.4265688345323308
2000,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839,0.0043192533704032,0.4301382309306609,0.586420703784812,0.2417094350586217
2000,Training-mean RA,Reference zero,30180,0.0004801321842344,0.002106624859223,4.347259513670815,4.365568851536222,
