depth,metric,direction,model,n_samples,raw_mean,model_mean,mean_oriented_improvement,improvement_ci_low,improvement_ci_high,relative_improvement_percent,sample_win_rate
2000,Bray_Curtis,lower,XGBoost,72,0.05884696193379413,0.07650250494096705,-0.017655543007172914,-0.025198870451818213,-0.010918439666663117,-30.00247154141334,0.3055555555555556
2000,Jensen_Shannon_distance,lower,Random Forest,72,0.1141651293271442,0.09827580748317889,0.015889321843965312,0.013642139639974557,0.018148344632296497,13.917841584039115,0.9305555555555556
2000,Jensen_Shannon_distance,lower,XGBoost,72,0.1141651293271442,0.109724328516128,0.004440800811016191,-0.0005725152591979797,0.00890618908372581,3.889804914328031,0.6527777777777778
2000,RAD_RMSE_log10_RA_specific,lower,Random Forest,72,2.1964939704952675,0.9071076542776648,1.2893863162176027,1.1865294201361483,1.3814488704082717,58.70201937895011,0.9722222222222222
2000,RAD_RMSE_log10_RA_specific,lower,XGBoost,72,2.1964939704952675,0.9243304044584322,1.2721635660368353,1.178989910974189,1.3690061302881649,57.91791751424598,0.9722222222222222
2000,RAD_tail_MAE_log10,lower,Random Forest,72,1.277688989846955,0.9997198409676995,0.27796914887925556,0.09679541721778809,0.4629278903702802,21.755619019034622,0.625
2000,RAD_tail_MAE_log10,lower,XGBoost,72,1.277688989846955,1.0298123194814814,0.24787667036547362,0.05672359057760192,0.4315094808184069,19.40039182736989,0.5972222222222222
2000,Shannon_absolute_error,lower,Random Forest,72,0.03919922218804369,0.08545328583630583,-0.04625406364826215,-0.050355244585998535,-0.04181181914856005,-117.99740164836811,0.027777777777777776
2000,Shannon_absolute_error,lower,XGBoost,72,0.03919922218804369,0.11693259887069016,-0.07773337668264646,-0.09316939703273842,-0.06398641654347456,-198.3033650763515,0.08333333333333333
2000,Simpson_absolute_error,lower,Random Forest,72,0.0031529564957837597,0.004986859441964028,-0.001833902946180267,-0.0023134676600557722,-0.0014142033278673144,-58.16454964198285,0.1111111111111111
2000,Simpson_absolute_error,lower,XGBoost,72,0.0031529564957837597,0.016488683640070733,-0.01333572714428697,-0.018542088837697823,-0.008986017824141367,-422.9594401990627,0.08333333333333333
2000,richness_1read_absolute_error,lower,Random Forest,72,16.41111111111111,6.816666666666666,9.594444444444445,8.047152777777779,11.094513888888887,58.463100880162486,0.9166666666666666
2000,richness_1read_absolute_error,lower,XGBoost,72,16.41111111111111,7.294444444444445,9.116666666666667,7.530208333333333,10.605972222222222,55.55179417738659,0.9166666666666666
2000,richness_fixed_absolute_error,lower,Random Forest,72,31.09444444444445,25.48611111111111,5.608333333333333,4.566597222222223,6.705625,18.03644809719494,1.0
2000,richness_fixed_absolute_error,lower,XGBoost,72,31.09444444444445,27.16111111111111,3.933333333333333,3.111111111111111,4.755763888888888,12.64963373235663,0.9166666666666666
5000,Bray_Curtis,lower,Random Forest,72,0.03776348071687167,0.037012699186389116,0.0007507815304825533,0.00029989897342614085,0.0012096752376788869,1.9881152802398443,0.6111111111111112
5000,Bray_Curtis,lower,XGBoost,72,0.03776348071687167,0.06332174957916205,-0.025558268862290383,-0.03304828733920118,-0.018643898098312225,-67.67985465617225,0.06944444444444445
5000,Jensen_Shannon_distance,lower,Random Forest,72,0.07776559330679556,0.07048176973426595,0.0072838235725296,0.006234688683041367,0.008397265916556453,9.366383335871886,0.9305555555555556
5000,Jensen_Shannon_distance,lower,XGBoost,72,0.07776559330679556,0.08541105594450737,-0.007645462637711807,-0.012736730185919616,-0.0031107314940984204,-9.831420699832453,0.4861111111111111
5000,RAD_RMSE_log10_RA_specific,lower,Random Forest,72,1.765089148084324,0.8186924918540854,0.9463966562302384,0.8650876643463185,1.0178820590002644,53.61749899473215,0.9583333333333334
