depth,method,metric,n_samples,mean,std,median,q25,q75
500,Training-mean RA,RAD_head_MAE_log10,72,0.1313359050326663,0.0592514653044852,0.1157450520646542,0.0880469770040334,0.1635276797224803
500,Training-mean RA,RAD_middle_MAE_log10,72,0.496733399461611,0.4361548079056671,0.3869986086594872,0.1617632970235314,0.6770339736322222
500,Training-mean RA,RAD_tail_MAE_log10,72,2.8928093810475333,0.8218198208285933,2.8377355070676815,2.229565201128435,3.5653377144580713
500,Training-mean RA,Shannon_absolute_error,72,0.6293028636520913,0.345555313260703,0.595645211758389,0.3096174701163373,0.8879533787390586
500,Training-mean RA,Simpson_absolute_error,72,0.0528806130395713,0.0488461340846419,0.0386931780953472,0.0135590346820739,0.071304138249794
500,Training-mean RA,true_richness_1read,72,37.333333333333336,7.854307152452749,36.0,31.75,44.0
500,Training-mean RA,predicted_richness_1read,72,55.0,0.0,55.0,55.0,55.0
500,Training-mean RA,richness_1read_absolute_error,72,17.666666666666668,7.854307152452749,19.0,11.0,23.25
500,Training-mean RA,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
500,Training-mean RA,predicted_richness_fixed,72,231.0,0.0,231.0,231.0,231.0
500,Training-mean RA,richness_fixed_absolute_error,72,116.54166666666669,29.351170286431486,115.0,91.75,142.0
500,XGBoost,composition_RMSE_RA,72,0.0025728736017791,0.0003206301374561,0.0025412421275847,0.0023929136022343,0.0027744588196056
500,XGBoost,composition_Spearman,72,0.7980672291791904,0.0683862287139069,0.8113820511548071,0.7624102689945265,0.8505944178263871
500,XGBoost,Bray_Curtis,72,0.0984400591906167,0.0155743387570059,0.0973352596205788,0.0899386868385909,0.1078552133528085
500,XGBoost,Jensen_Shannon_distance,72,0.15271451128583,0.020879485872477,0.1556448513790703,0.1457276584200663,0.164776735649452
500,XGBoost,RAD_MAE_log10_RA_specific,72,0.8322406132186412,0.158793873366079,0.8214328182419426,0.7318837143021538,0.8578423614020292
500,XGBoost,RAD_RMSE_log10_RA_specific,72,1.0136641813724172,0.2172533180070367,0.9707083968085402,0.8949133372454443,1.024157329685168
500,XGBoost,RAD_head_MAE_log10,72,0.0495089571213136,0.0090554492644839,0.0482711620433634,0.0448576763004902,0.0527982884402566
500,XGBoost,RAD_middle_MAE_log10,72,0.5830279624894111,0.1709379904099869,0.5955726598489703,0.4552270537038477,0.6772103587969257
500,XGBoost,RAD_tail_MAE_log10,72,1.1360654455997234,0.2538559704054437,1.0957958326423785,1.032985207300026,1.191017668591232
500,XGBoost,Shannon_absolute_error,72,0.1643841124683808,0.0466284221424477,0.1690264797461075,0.1293577139952649,0.1967963512062711
500,XGBoost,Simpson_absolute_error,72,0.009149925493642,0.0041665369163219,0.0086584246744075,0.0064204111625463,0.010482024757581
500,XGBoost,true_richness_1read,72,37.333333333333336,7.854307152452749,36.0,31.75,44.0
500,XGBoost,predicted_richness_1read,72,33.76111111111111,6.541795324831516,33.599999999999994,28.2,40.0
500,XGBoost,richness_1read_absolute_error,72,4.105555555555556,2.1571948979765425,3.8,2.4,5.0
500,XGBoost,true_richness_fixed,72,114.45833333333331,29.351170286431486,116.0,89.0,139.25
500,XGBoost,predicted_richness_fixed,72,71.34444444444445,15.580241088091908,67.6,57.35,85.25
500,XGBoost,richness_fixed_absolute_error,72,43.16388888888888,17.957895243177727,47.599999999999994,29.95,56.8
