depth,method,sample_id,subsample_repeat,composition_RMSE_RA,composition_Spearman,Bray_Curtis,Jensen_Shannon_distance,RAD_MAE_log10_RA_specific,RAD_RMSE_log10_RA_specific,RAD_head_MAE_log10,RAD_middle_MAE_log10,RAD_tail_MAE_log10,Shannon_absolute_error,Simpson_absolute_error,true_richness_1read,predicted_richness_1read,richness_1read_absolute_error,true_richness_fixed,predicted_richness_fixed,richness_fixed_absolute_error
500,Random Forest,SRS2821968,2,0.0030854247967708626,0.6624011194633438,0.10991941343723777,0.16485470757363904,1.4579495034824095,1.8718348319354954,0.04173791215521731,1.2575590033127595,1.7827941310933837,0.1614183935423883,0.018196304294330057,44,39,5,70,70,0
500,Random Forest,SRS2821968,3,0.0021709839701700385,0.6607648862048243,0.09058662356534461,0.1570256456303152,1.438816270576339,1.8736771071853735,0.03382636481825147,1.2775706483679956,1.7273742997622157,0.09618686874577254,0.008404789703087778,44,39,5,70,74,4
500,Random Forest,SRS2821968,4,0.002055374325241693,0.5819411648636229,0.09537767982469422,0.16116518484798562,1.3650137875959167,1.7817947113686818,0.02610249818238355,1.2997536985102525,1.5606476215970324,0.12475326826174715,0.011338216117569688,44,37,7,70,68,2
500,Random Forest,SRS2821968,5,0.002656976602774993,0.6607098723206398,0.11811904826995921,0.18927784189748198,1.4445021278103378,1.8652044717219844,0.038884303633528836,1.2995331987552472,1.7185138571534788,0.16754816027156938,0.015313238991430111,44,40,4,70,72,2
500,Random Forest,SRS2821969,1,0.003136581452520097,0.6806758997442999,0.09346276779147018,0.14914078499179542,0.8834505843207933,1.0512294230279964,0.07385784347017807,0.6349401638502623,1.1893946281373173,0.10535910213081268,0.0052694548768337235,31,30,1,120,65,55
500,Random Forest,SRS2821969,2,0.00182888920115816,0.7670727315288375,0.07510983045230454,0.15204649518350746,0.88659937503291,1.0539848067233,0.055303094950381076,0.6307226779413986,1.2013772892809822,0.13086385615915974,0.006553059068407419,31,28,3,120,69,51
500,Random Forest,SRS2821969,3,0.002453053854178906,0.5549725449099943,0.0826225526699654,0.16183266881289593,0.8731401425552028,1.0187043352463663,0.039746452839830984,0.7611693872319631,1.058957339981574,0.2392031016617442,0.025576128145216703,31,27,4,120,62,58
500,Random Forest,SRS2821969,4,0.0028631962709312108,0.5624371298793795,0.10306496079413818,0.1758593281057791,0.7891301591663551,0.9328222119246844,0.05787385720824071,0.6317695185077782,1.0052360249973256,0.20955968914593415,0.021002606521002387,31,27,4,120,72,48
500,Random Forest,SRS2821969,5,0.0020820769022656376,0.6923575553163318,0.08267445242744242,0.15841477100638823,0.9159732849005552,1.0707707397379145,0.0522792087039307,0.6860074061500975,1.2108089791376284,0.1005532579753412,0.00510264296109475,31,28,3,120,64,56
500,Random Forest,SRS2821970,1,0.0021598454693735236,0.8604078048673834,0.10110590796021798,0.15762186504007153,0.6717586491875663,0.806358987066425,0.04344471014991914,0.3793900411716402,0.9985153619537476,0.23486167750061293,0.007773177453707647,50,41,9,158,97,61
500,Random Forest,SRS2821970,2,0.003198693374742505,0.8405013020611531,0.11703734774514192,0.1644508717730882,0.6972896743063831,0.8435490841462112,0.03316603883732845,0.37188253543751376,1.0573685805437754,0.23802358372675947,0.012909469169447907,50,45,5,158,96,62
500,Random Forest,SRS2821970,3,0.002796644089062511,0.8507100814705331,0.11380297146359403,0.15979654121301623,0.640853751681943,0.7948152402344334,0.043583980458875494,0.33052073838727886,0.9805582441346326,0.14792008259826472,0.0008999620603968861,50,44,6,158,101,57
500,Random Forest,SRS2821970,4,0.003137667151178185,0.8448489078268344,0.12257048118524717,0.1683717930671984,0.6267555100339273,0.7813476417270014,0.061056364385744764,0.2979946752910342,0.979769872664763,0.24053362286829083,0.016870269875427835,50,46,4,158,101,57
500,Random Forest,SRS2821970,5,0.0020492651761296696,0.8441473701496853,0.08755567634570077,0.13645736136068906,0.4666191332109502,0.6575563531595396,0.03827861045865408,0.1661870972257525,0.7801441639045913,0.10534142301800431,6.331398364101126e-05,50,42,8,158,119,39
500,Random Forest,SRS2821972,1,0.002320980222458792,0.9045610089855538,0.09716000985481656,0.13657529368650037,0.6064886131594532,0.7446402539536122,0.03669551182153722,0.32743672927046025,0.915301409070777,0.1751313288233307,0.00594771102303604,46,41,5,141,95,46
500,Random Forest,SRS2821972,2,0.002874114348373223,0.905452393479956,0.11558647991855167,0.15407868541404632,0.6499710117354478,0.7674446919320183,0.055468325691663,0.4025466895271237,0.9329230404781104,0.2711189709523003,0.014778926377349677,46,39,7,141,89,52
500,Random Forest,SRS2821972,3,0.0022822954608878294,0.8962527971725542,0.0978762601981707,0.15297754386057805,0.7522214820873917,0.871434560750417,0.04685420800538042,0.5075813761747803,1.0440226367102565,0.21868337518023528,0.004958204074403283,46,40,6,141,83,58
500,Random Forest,SRS2821972,4,0.003830039817253425,0.8899201548235236,0.13307205916214182,0.16213606693465313,0.7333735652494991,0.8485480559587316,0.07257591904826594,0.47680941077818856,1.0313159511577308,0.2235083690324431,0.003066491837218077,46,41,5,141,85,56
500,Random Forest,SRS2821972,5,0.0018014664247212567,0.9021257683322111,0.08888348272776435,0.13473637386887988,0.5413328634218911,0.7139854196272623,0.028264452450968383,0.2422917598905475,0.862282274013979,0.14334168592101237,0.007136487344960973,46,43,3,141,101,40
500,Random Forest,SRS2821987,1,0.003166431324963876,0.7777253541451071,0.10760739813486937,0.14178613116898645,0.6178054342330248,0.7498105041854967,0.06635597011945937,0.32812034620221103,0.9342853009179787,0.2001521470876244,0.021745174407791223,33,31,2,115,81,34
500,Random Forest,SRS2821987,2,0.002209923869116748,0.7502195706550472,0.09274536377213241,0.16137726764302548,0.7679777764962595,0.8732720531251457,0.05202102073948089,0.5880248064313072,1.0027972758052572,0.14768919857106821,0.0013855932049741115,33,29,4,115,67,48
500,Random Forest,SRS2821987,3,0.002588937440158234,0.7914760598263316,0.09944836779688332,0.15917082661013843,0.8622802775879085,0.9667844209017943,0.05457362243704505,0.7045484936202773,1.086544922385319,0.20976201296379005,0.009598872689966842,33,27,6,115,57,58
500,Random Forest,SRS2821987,4,0.002533582797232498,0.7464311220799332,0.10723665583656829,0.17402108413685283,0.9147765375764209,1.0516288053023937,0.05900275152934716,0.8034251494487856,1.1023286436013218,0.2247145407072102,0.011820873364854045,33,27,6,115,59,56
500,Random Forest,SRS2821987,5,0.002592386624342313,0.750932591799642,0.091304000128634,0.1604446354418931,0.8268626842557422,0.9702880404066315,0.04385746484018549,0.6607519589418304,1.0561200900682477,0.2685362994397238,0.01768925286289791,33,29,4,115,66,49
500,Random Forest,SRS2821991,1,0.0020243735740112043,0.8685863107784623,0.07695117354143999,0.12483886691618318,0.6533052096678174,0.8691422324006564,0.05857017632468063,0.2955710061080757,1.0352993406857018,0.03327429383399583,0.0035941210755597863,33,38,5,125,93,32
500,Random Forest,SRS2821991,2,0.002451958481557154,0.6506584737750101,0.10251375160705598,0.1798467936075731,0.8959409340757468,1.0287008426930824,0.06050049230371187,0.7381009878116589,1.1231415609823805,0.1802728963721396,0.0038534047119568315,33,37,4,125,63,62
500,Random Forest,SRS2821991,3,0.0018198766960039674,0.8693447616023772,0.07200156833903552,0.1299261419815161,0.7881000909221253,0.9405168965256581,0.06306156893910646,0.5027062672033333,1.1184969152506405,0.09292111122881996,0.0023357459534675273,33,33,0,125,72,53
500,Random Forest,SRS2821991,4,0.001751275977321051,0.7937162224171578,0.0842604853583216,0.15157721125237603,0.9122122419167145,1.0411783554429221,0.07400721135433412,0.6963325452891045,1.1917945317817418,0.20272014972865593,0.0072773117079129035,33,28,5,125,66,59
500,Random Forest,SRS2821991,5,0.0020091177060625716,0.8489545256840911,0.09037192114923655,0.1544263306096692,0.8059079416490724,0.9534107998783714,0.05665369449325889,0.5368738531110014,1.1240984243763614,0.10254496767380683,0.0007776466406865801,33,36,3,125,71,54
500,Random Forest,SRS2822000,1,0.0030529276155524428,0.8615234191302803,0.09559876183513391,0.1539755020003485,0.7655484398139053,0.9094038700678965,0.047471797253086326,0.4731204365158555,1.1015467762648368,0.2655038933870659,0.01325336928633647,42,38,4,139,87,52
500,Random Forest,SRS2822000,2,0.002026827418086728,0.866332210796861,0.08527207106187948,0.13460121863963892,0.6602139103676093,0.858534975411793,0.0398068356064519,0.3157511155740658,1.032922970039728,0.1186060960349189,0.0010018291299170867,42,41,1,139,97,42
500,Random Forest,SRS2822000,3,0.0025842499271069314,0.8224138088093693,0.11771597653679351,0.18050590027945104,0.8742275991741624,1.0019976194041393,0.045607314163625415,0.6226450521792986,1.184877001241496,0.2620450723198138,0.009532928884732006,42,39,3,139,76,63
500,Random Forest,SRS2822000,4,0.0030442700228837925,0.830085132668562,0.11694411498611057,0.17328617974783136,0.8901801754850133,1.0297524744087745,0.057928155815513555,0.6278809376651556,1.2108210366438106,0.22517992241613216,0.007784624828796938,42,37,5,139,73,66
500,Random Forest,SRS2822000,5,0.002082514889694746,0.8648061830033205,0.09289796251581005,0.1391341833899537,0.6322835277858044,0.8514273047318213,0.0418564153733465,0.25943185389167217,1.0274067032605525,0.1514804815304207,0.006437820710709974,42,43,1,139,102,37
500,Random Forest,SRS2822019,1,0.0015601813473427627,0.8317564557651856,0.07628105357155032,0.15419656078969757,0.8635390054270528,1.0014824305352492,0.05006513958247104,0.6210007882689144,1.1645194543404964,0.1604008691147092,0.002805306077115599,40,37,3,128,66,62
500,Random Forest,SRS2822019,2,0.002023305416617692,0.835398858483505,0.08490975476030443,0.14582006926728677,0.8004141296729081,0.9529572995464235,0.0325345466397675,0.509883823763519,1.1398069600122882,0.16033159257555507,0.003200353940245093,40,38,2,128,71,57
500,Random Forest,SRS2822019,3,0.002575826511544504,0.8202726829055572,0.09630334307174786,0.15328275161845542,0.7665066273019987,0.9150793872382755,0.055278586585398554,0.46831580025784836,1.1069768541708884,0.18031716196072534,0.0040793855979708304,40,35,5,128,77,51
500,Random Forest,SRS2822019,4,0.002248976264393165,0.8317927295675308,0.08474578774813238,0.13615403761464884,0.771455683138192,0.926136852749711,0.03567426105908714,0.47883171734232566,1.109442223199272,0.14565853699429132,0.006799787674397706,40,37,3,128,73,55
500,Random Forest,SRS2822019,5,0.0027202751211787388,0.8375664929751636,0.10048632790635369,0.14430351745966913,0.7666137233308069,0.9238565806795859,0.05878158241396576,0.4628752590192513,1.1117161072948714,0.1666475501356337,0.008405276299300324,40,38,2,128,74,54
500,Random Forest,SRS2822023,1,0.002585523405470362,0.8299091631883756,0.0956814089396886,0.14769489789774193,0.7837901482516777,0.9259007795169036,0.054755695915546396,0.5060786730579118,1.1077000384285203,0.1828118496481448,0.009751888071036885,35,27,8,93,66,27
500,Random Forest,SRS2822023,2,0.0021371672827078724,0.8202480804573419,0.08253154969089413,0.1307264945542382,0.7896993071698242,0.9398417452782346,0.03603508988987066,0.5206123938580176,1.1083886216752203,0.14937324469542856,0.007325658906345511,35,30,5,93,59,34
